choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
drive,7,HOME_OTHER,3.93477,2,3,3,detached,6,0,30,1,4,PTE,20.166666666666668
drive,2,SHOPPING,0.31556999999999996,3,3,3,detached,7,0,54,1,5,FTE,17.5
drive,2,SHOPPING,0.28349,1,1,0,detached,3,0,80,1,3,PTE,9.333333333333334
drive,2,OTHER,0.69417,2,2,0,detached,5,1,42,1,5,FTE,13.783333333333333
passenger,1,SHOPPING,4.30666,2,2,1,detached,4,0,32,0,3,Unemployed,11.566666666666666
passenger,1,SHOPPING,0.6966100000000001,2,2,2,detached,6,0,52,1,5,FTE,16.5
drive,4,HOME_OTHER,3.1946,2,2,0,detached,6,1,47,1,5,FTE,13.916666666666666
drive,1,SHOPPING,0.28526999999999997,1,1,1,detached,2,0,72,1,5,Retired,13.25
drive,1,SHOPPING,1.50722,2,2,2,detached,7,0,69,1,5,Retired,9.833333333333334
drive,1,HOME_WORK,13.208770000000001,2,2,0,detached,7,1,50,1,6,FTE,20.0
drive,1,HOME_OTHER,1.23603,2,2,0,duplex_townhouse,7,0,52,1,5,FTE,10.5
drive,4,HOME_OTHER,6.38753,2,2,3,detached,3,1,71,1,2,Retired,8.75
drive,4,HOME_OTHER,7.13161,3,5,6,detached,7,0,25,1,2,PTE,12.5
drive,5,SHOPPING,6.39989,3,3,2,detached,6,1,62,1,3,Retired,14.0
drive,1,HOME_WORK,3.45966,2,2,2,detached,7,0,33,1,6,FTE,7.083333333333333
pt,1,HOME_OTHER,7.4692,1,2,2,appartment,7,0,32,1,6,FTE,10.75
passenger,3,HOME_EDU,0.6965100000000001,2,3,2,detached,6,0,17,1,1,Student,14.916666666666666
pt,1,HOME_OTHER,41.388040000000004,1,1,1,duplex_townhouse,5,0,53,1,3,FTE,6.5
drive,7,SHOPPING,5.4576,2,2,0,appartment,6,1,75,1,6,PTE,8.166666666666666
drive,3,BUSINESS,1.1202299999999998,3,2,0,detached,5,1,67,1,5,PTE,10.5
drive,3,OTHER,1.96848,1,2,0,appartment,7,0,30,1,6,FTE,7.25
drive,3,HOME_WORK,6.2724,2,2,0,detached,6,1,51,1,5,FTE,7.25
drive,5,SHOPPING,7.95602,1,2,0,duplex_townhouse,1,0,80,1,1,Retired,10.5
walk,6,OTHER,4.06649,1,1,1,appartment,7,1,30,1,5,FTE,0.5
pt,2,SHOPPING,1.26524,0,1,0,appartment,2,0,68,1,3,Retired,15.75
drive,4,SHOPPING,2.52564,2,1,2,detached,7,0,52,1,5,FTE,15.5
drive,4,ESCORT_TRANSFER,9.1657,2,2,2,detached,7,0,44,1,5,FTE,17.25
drive,2,HOME_OTHER,3.7317400000000003,3,2,0,detached,2,0,61,1,6,Student,16.666666666666668
pt,1,HOME_EDU,2.32329,3,5,0,detached,6,1,17,0,1,Student,7.75
drive,3,SHOPPING,1.20812,2,2,2,detached,7,0,70,1,5,Retired,13.0
passenger,1,OTHER,26.480559999999997,1,4,4,detached,6,1,2,0,1,Unknown,10.0
drive,4,HOME_WORK,37.36249,2,4,4,detached,7,1,36,1,6,FTE,6.166666666666667
passenger,4,HOME_WORK,1.72144,2,4,3,detached,5,0,35,1,3,FTE,14.166666666666666
drive,1,HOME_OTHER,1.0381200000000002,3,3,0,detached,6,1,68,1,5,Retired,18.916666666666668
drive,1,SHOPPING,1.02383,1,1,0,detached,2,0,75,1,3,Retired,17.666666666666668
drive,3,SHOPPING,1.0318399999999999,2,2,0,detached,6,0,46,1,5,FTE,17.183333333333334
drive,2,HOME_WORK,9.45776,2,5,5,detached,7,0,42,1,6,FTE,17.5
passenger,1,HOME_OTHER,0.39158000000000004,1,2,0,appartment,7,1,61,1,6,FTE,14.5
passenger,4,HOME_OTHER,0.15768,2,4,2,detached,6,0,6,0,1,Student,7.833333333333333
drive,1,HOME_WORK,12.32594,2,7,7,detached,7,1,45,1,6,FTE,7.0
walk,5,HOME_OTHER,0.0,2,6,2,detached,7,0,18,1,2,Student,10.0
pt,2,HOME_WORK,7.447939999999999,1,1,0,duplex_townhouse,4,0,66,1,6,FTE,8.5
drive,3,HOME_OTHER,20.25111,3,3,2,duplex_townhouse,7,0,30,1,5,FTE,20.6
drive,4,SHOPPING,1.59617,1,1,0,duplex_townhouse,7,1,69,1,5,FTE,18.5
drive,6,SHOPPING,1.12075,3,6,0,detached,7,1,50,1,5,FTE,9.5
drive,2,HOME_OTHER,3.24253,1,1,0,detached,2,1,54,1,4,FTE,17.5
drive,4,ESCORT_TRANSFER,1.08192,2,3,2,detached,7,0,37,1,5,FTE,16.666666666666668
walk,7,SHOPPING,0.24896999999999997,1,2,1,appartment,4,0,39,1,5,FTE,18.666666666666668
drive,5,SHOPPING,12.1943,1,1,2,detached,4,0,70,1,6,Retired,12.583333333333334
drive,3,HOME_WORK,5.06067,2,2,0,duplex_townhouse,6,0,28,1,6,FTE,21.0
drive,2,OTHER,2.53464,2,2,0,duplex_townhouse,6,0,56,1,6,PTE,10.266666666666667
drive,3,SHOPPING,2.28178,1,2,0,detached,3,0,65,1,2,Retired,13.633333333333333
