choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
passenger,5,HOME_OTHER,7.428126558058408,0,1,0,appartment,1,0,64.0,0,2,Retired,2.9868957204794917
drive,5,HOME_OTHER,2.84983670468621,1,1,0,appartment,2,0,31.0,1,5,FTE,15.382499504591834
pt,1,BUSINESS,20.538301089483898,1,1,0,appartment,5,0,32.0,1,5,FTE,12.75949178526087
passenger,4,HOME_EDU,10.13586881313238,0,1,1,detached,6,0,19.0,0,3,Student,6.331554277400064
drive,3,HOME_OTHER,5.593494411653281,1,1,0,duplex_townhouse,1,0,73.0,1,3,Retired,16.569409458705085
drive,3,HOME_WORK,4.970546864857538,2,4,0,detached,7,0,33.0,1,5,FTE,16.808714926059103
passenger,5,OTHER,0.7502181968609403,1,1,0,detached,2,0,81.0,0,1,Retired,15.165003578750225
passenger,3,SHOPPING,1.7396645534245128,1,1,1,duplex_townhouse,5,1,66.0,1,4,Retired,13.235588223400669
drive,5,OTHER,0.9496599573628419,1,2,0,appartment,7,1,77.0,1,6,Retired,15.451175261406494
passenger,1,HOME_OTHER,1.2058020707130461,2,3,3,appartment,7,0,8.0,0,1,Student,10.993821042933408
drive,6,SHOPPING,0.36054788354069117,0,1,0,appartment,1,0,65.0,1,3,Unemployed,13.764934146155408
drive,1,HOME_WORK,33.41604626236349,1,2,2,appartment,6,0,53.0,1,6,FTE,6.669272752897946
drive,5,HOME_OTHER,5.438212133982245,2,2,2,detached,5,1,61.0,1,5,Volunteer,16.804484308609567
drive,1,SHOPPING,0.7157473437898503,3,1,0,detached,7,1,44.0,1,3,FTE,20.460047024874722
drive,2,HOME_OTHER,0.07977881895260519,2,2,1,appartment,5,1,61.0,1,2,Unemployed,10.18245110467818
drive,7,HOME_OTHER,8.603000304627356,1,2,0,appartment,6,0,57.0,1,6,FTE,22.424229185031233
drive,2,HOME_OTHER,-0.013011778674309138,1,1,0,appartment,5,1,81.0,1,6,FTE,22.300123444127014
drive,3,HOME_OTHER,1.4469157009850877,1,4,1,duplex_townhouse,6,0,35.0,1,5,PTE,9.759976564508024
pt,2,HOME_EDU,7.317537623982186,2,4,3,appartment,3,0,11.0,0,1,Student,8.957792897029753
pt,3,HOME_WORK,25.023508312701658,2,2,2,duplex_townhouse,7,0,40.0,1,6,PTE,13.800730445615947
passenger,2,SHOPPING,1.557777473084323,3,2,2,duplex_townhouse,5,1,66.0,0,3,Volunteer,13.563393497371269
drive,5,HOME_WORK,7.158081305230292,2,2,0,detached,6,0,37.0,1,6,FTE,19.508038217718283
drive,2,OTHER,3.4302283788102796,1,2,0,duplex_townhouse,6,0,24.0,1,5,FTE,13.172619147416428
drive,2,OTHER,3.903099246233184,1,2,0,detached,3,0,50.0,1,5,Retired,18.78372333533887
drive,5,SHOPPING,2.0494695486500603,2,2,0,duplex_townhouse,4,0,72.0,1,5,Volunteer,13.122660800929628
pt,1,SHOPPING,-0.013511896754284436,3,3,1,appartment,3,0,36.0,0,1,Student,9.978302039978297
drive,5,SHOPPING,3.6569260446816534,1,1,0,detached,4,0,85.0,1,6,Volunteer,13.77716792228572
drive,3,OTHER,6.154086971188583,1,1,3,detached,1,0,73.0,0,3,Volunteer,7.678576047661823
walk,5,SHOPPING,0.01975618982334071,2,2,2,detached,3,0,45.0,1,4,FTE,9.865127387224844
pt,3,HOME_EDU,0.9458886813610448,2,4,4,detached,6,0,35.0,0,1,FTE,8.829358757482858
drive,2,HOME_OTHER,2.1690568668185604,1,1,4,detached,7,0,76.0,1,6,Retired,19.686403566519978
drive,2,OTHER,1.8323212092466425,4,2,2,detached,7,1,79.0,1,6,Retired,14.533216941513498
drive,1,HOME_OTHER,1.1688701240916126,2,2,1,detached,7,1,79.0,1,5,Retired,9.818653010293758
drive,4,HOME_OTHER,0.4069289993272174,5,6,4,detached,2,1,48.0,1,4,FTE,17.46848620805828
drive,6,HOME_OTHER,9.443928218262073,2,2,0,detached,7,1,62.0,1,2,FTE,5.973994179213934
passenger,2,SHOPPING,1.486323767930489,2,2,2,detached,1,0,11.0,0,1,Student,15.59904229860322
