travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time,choice
1,SHOPPING,1.605567552174508,1,1,0,appartment,4,0,62,1,2,Unemployed,20.752627259065928,drive
2,HOME_OTHER,0.11139983493029315,2,3,2,appartment,5,0,29,1,5,FTE,13.808377021548589,drive
2,OTHER,-0.0020548274882293827,2,2,0,detached,5,0,69,1,2,Retired,14.723976189488553,passenger
5,OTHER,3.814527646449732,2,5,0,detached,6,1,14,1,1,Student,11.699453932130758,passenger
3,HOME_OTHER,1.5687298292842726,1,1,0,detached,2,1,82,1,5,Retired,16.11573303959526,pt
3,SHOPPING,2.0256440465332815,7,4,1,detached,7,1,36,1,4,FTE,16.54275177790562,walk
2,HOME_OTHER,0.7767527256626637,2,2,2,appartment,7,1,59,1,5,Retired,18.68385140942414,walk
5,SHOPPING,11.483049573149883,2,2,2,detached,4,0,68,1,2,Retired,7.092062540576261,drive
1,HOME_WORK,14.058692482524407,0,2,0,appartment,3,0,32,0,2,FTE,7.958335234088436,pt
3,HOME_OTHER,3.684933032881089,2,5,3,detached,6,0,31,1,5,PTE,22.003979303001156,passenger
7,HOME_OTHER,1.5835665561226222,2,4,2,detached,6,1,49,1,1,Unemployed,8.515975000688616,passenger
1,HOME_WORK,1.8042799176953777,2,2,0,detached,4,1,38,1,2,FTE,7.322804042504616,drive
4,HOME_OTHER,15.325090731826412,1,1,0,appartment,5,0,63,1,5,Volunteer,13.413949504660723,drive
6,HOME_OTHER,-0.44665734286010317,3,4,2,detached,6,1,10,0,1,Student,17.888943357953995,walk
5,HOME_OTHER,0.9970011552476052,1,2,0,detached,2,1,86,1,2,Retired,12.281278861910092,drive
2,SHOPPING,1.5182639369135469,2,2,0,detached,6,0,85,1,2,Retired,8.855092151726856,drive
4,OTHER,6.710228352699843,1,1,0,duplex_townhouse,5,0,57,1,5,FTE,13.571951606811979,drive
5,SHOPPING,1.4803301127485513,1,1,0,appartment,4,0,65,1,3,FTE,17.653329798338603,drive
4,HOME_OTHER,3.6772957742224635,0,1,0,appartment,1,1,39,1,5,FTE,6.82267645485692,pt
