choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
walk,3,HOME_WORK,0.5550372009347423,1,6,0,appartment,7,1,3,0,6,Student,14.80930120797482
passenger,5,HOME_EDU,0.8323257100987889,4,2,2,detached,4,1,14,0,1,Student,7.930387837831515
passenger,2,HOME_OTHER,3.2073274001044068,2,3,3,detached,6,0,32,1,1,FTE,21.21000748972481
drive,4,SHOPPING,1.8624784070059601,1,2,0,duplex_townhouse,5,0,78,1,5,FTE,16.853810602308357
passenger,5,HOME_OTHER,1.9117700374781397,1,1,1,detached,5,0,15,1,6,FTE,9.407806246148622
drive,2,OTHER,3.1660256292732223,2,4,3,detached,7,0,39,1,5,FTE,13.91168012408579
pt,3,SHOPPING,12.547370237027804,1,2,2,detached,4,0,53,1,6,FTE,10.536746275270982
passenger,2,OTHER,0.8395203147491825,2,1,0,detached,4,0,68,1,2,PTE,5.823904944199346
drive,4,OTHER,4.217195858696088,2,2,2,detached,6,0,72,1,5,Volunteer,16.619202099057592
drive,5,HOME_EDU,5.614215346558393,2,4,4,detached,7,1,38,1,2,FTE,8.507977161356905
pt,3,HOME_OTHER,7.605830946345759,0,1,0,appartment,1,1,48,0,3,Unemployed,11.208297560221078
drive,3,HOME_OTHER,12.732821044586574,2,2,2,detached,5,0,51,1,6,FTE,7.213522914977707
drive,1,HOME_OTHER,3.160265205517451,1,3,1,detached,6,0,43,1,6,FTE,19.35442421751774
passenger,1,HOME_OTHER,2.2711328669672826,3,2,2,detached,7,0,43,1,6,FTE,19.77887865490654
drive,1,BUSINESS,3.3633125963313675,5,4,3,detached,7,1,34,1,6,FTE,12.015495916172677
pt,3,SHOPPING,0.636254436852253,3,3,2,detached,6,0,16,1,1,FTE,6.694091240264441
drive,1,SHOPPING,4.937420585333436,2,2,2,detached,4,0,45,1,4,FTE,10.242794563308877
passenger,1,SHOPPING,0.717787320905988,1,1,0,appartment,4,0,41,0,5,PTE,8.731646474948
drive,6,HOME_OTHER,-0.0468024027811057,1,2,2,detached,3,1,82,1,2,Retired,13.39040250801694
drive,1,HOME_WORK,12.65497840836101,1,2,0,detached,6,0,42,1,3,PTE,10.106470286807927
passenger,6,SHOPPING,0.9556462365563085,1,3,2,appartment,7,0,27,1,5,FTE,21.64522931974716
drive,3,HOME_OTHER,1.224640683849422,1,2,1,appartment,5,1,81,1,6,FTE,10.681608885230801
passenger,1,SHOPPING,0.3763743678794357,2,2,0,detached,1,0,62,0,2,Retired,12.616820846898637
drive,4,SHOPPING,1.121185138949332,1,1,0,appartment,4,1,40,1,4,FTE,11.7820843645635
drive,1,HOME_OTHER,5.374887888769281,1,7,0,detached,1,0,57,0,1,Student,15.748259416691639
passenger,1,HOME_OTHER,0.0007208140402481522,4,2,2,appartment,1,1,52,0,1,FTE,10.584249243737524
walk,2,HOME_OTHER,0.7214516188196605,1,4,3,detached,4,0,50,1,6,FTE,9.499307800911101
pt,1,HOME_WORK,7.769274663058292,0,2,1,appartment,6,1,52,1,6,FTE,7.7844417202437715
drive,4,HOME_OTHER,4.989307334219297,1,1,1,duplex_townhouse,1,0,62,1,3,FTE,14.067535481111335
passenger,5,SHOPPING,4.728999946692437,2,4,5,detached,5,0,23,0,4,Student,7.451276576939348
drive,1,SHOPPING,0.882745461211533,2,2,0,detached,4,0,53,1,6,PTE,16.257724037868904
drive,2,HOME_WORK,8.405799388097115,3,3,2,detached,7,0,45,1,6,FTE,6.128713235556516
drive,5,ESCORT_TRANSFER,13.471128721756571,2,4,0,detached,5,0,33,1,6,FTE,10.664235654819882
pt,4,ESCORT_TRANSFER,4.562755763973997,3,4,4,detached,6,1,3,0,1,Student,14.171288908016814
drive,1,HOME_WORK,4.760441394340816,3,4,2,detached,6,1,31,1,6,FTE,12.57594400097727
drive,4,HOME_WORK,1.8616242185061866,1,1,1,detached,6,0,53,1,4,FTE,11.42236807117505
drive,2,HOME_OTHER,2.7499725166529294,2,2,0,detached,7,1,83,1,3,FTE,22.337811603208202
passenger,1,HOME_WORK,12.400683031974907,1,5,3,duplex_townhouse,6,0,24,1,6,FTE,7.992015516002334
passenger,4,HOME_OTHER,5.486585351455323,1,4,0,appartment,1,0,7,0,1,Student,11.659234793319996
drive,6,SHOPPING,4.397998408157346,1,4,0,detached,5,0,18,1,5,FTE,20.644053828099743
drive,5,HOME_OTHER,33.68723175864879,2,5,0,detached,4,0,26,1,4,Retired,12.623023644770935
drive,6,HOME_OTHER,4.215974175035025,3,3,0,detached,6,0,21,1,5,FTE,12.522512209751678
walk,1,HOME_OTHER,0.7303869267749148,2,3,2,detached,7,0,52,1,6,PTE,12.048310204081272
walk,1,SHOPPING,-0.20423758491029875,1,1,0,detached,4,1,61,1,6,Retired,10.871399292178376
pt,1,HOME_OTHER,7.082341757982295,3,5,2,detached,6,0,43,0,6,FTE,18.668474872720715
passenger,4,HOME_EDU,0.9576746941064189,1,1,0,appartment,2,0,66,1,5,FTE,18.973036950737924
passenger,3,HOME_OTHER,25.473348231068105,1,8,3,detached,1,0,42,0,1,Student,7.774724274527906
