choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
pt,6,OTHER,29.65297098298005,0,2,0,duplex_townhouse,7,1,60.0,1,6,FTE,15.442065027523881
passenger,4,HOME_OTHER,0.5102849478230088,2,4,4,detached,4,1,48.0,0,4,Retired,6.349205198667287
drive,3,HOME_WORK,23.76508003708445,2,2,0,detached,7,0,38.0,1,5,PTE,19.564864763487414
drive,2,HOME_EDU,0.8091835910367147,1,2,0,detached,1,1,74.0,1,2,Student,8.478774572972883
walk,1,HOME_OTHER,3.227139198420833,1,3,3,appartment,3,0,15.0,0,1,Student,6.308136332989773
walk,1,ESCORT_TRANSFER,0.19332095429782023,1,2,0,detached,7,0,64.0,1,6,FTE,9.484880111200933
drive,6,HOME_WORK,7.2280141155970865,1,1,0,detached,1,1,71.0,1,6,Retired,16.529820966543745
drive,5,HOME_OTHER,2.2203190849577696,1,1,0,appartment,7,0,62.0,1,6,FTE,12.9057658590686
drive,3,ESCORT_TRANSFER,2.572175538218929,1,1,0,duplex_townhouse,7,0,71.0,1,6,Retired,7.411179507193208
drive,1,HOME_OTHER,3.1483688147282716,2,2,0,detached,5,1,75.0,1,3,FTE,9.841325921823632
drive,5,HOME_OTHER,5.162527745061944,4,5,4,detached,7,0,45.0,1,3,Student,18.760447837470085
drive,5,SHOPPING,2.1151573697699706,2,4,0,detached,7,0,55.0,1,4,Retired,13.462964437811173
drive,1,HOME_OTHER,3.503702502075441,2,4,4,detached,6,1,62.0,1,4,Unemployed,8.430641767010778
pt,3,ESCORT_TRANSFER,7.721622252559228,0,1,1,appartment,2,0,55.0,1,2,PTE,19.277714845770205
cycle,4,HOME_WORK,5.842207581131288,2,2,2,appartment,6,1,38.0,1,5,FTE,7.837798836957051
drive,2,HOME_OTHER,1.0738606026359476,2,2,3,duplex_townhouse,7,0,60.0,1,6,FTE,18.575638126462767
passenger,5,OTHER,2.211251982261526,0,1,0,duplex_townhouse,1,0,75.0,0,4,Retired,7.781163334132032
passenger,1,OTHER,4.435932853318981,2,3,2,detached,6,0,38.0,0,1,Student,12.703143569535579
pt,3,ESCORT_TRANSFER,43.132852686905686,1,2,1,duplex_townhouse,3,1,36.0,1,4,FTE,14.145311836187778
drive,3,HOME_WORK,3.0760239740069353,2,1,5,appartment,5,0,65.0,1,6,PTE,20.83884811763198
walk,5,HOME_OTHER,0.5019371575585772,4,5,0,appartment,5,0,35.0,1,5,Homemaker,11.735443369237315
passenger,3,SHOPPING,1.5102694125743263,2,3,0,appartment,2,0,21.0,0,2,Unemployed,16.843516507557933
passenger,5,HOME_OTHER,0.617649445131941,2,3,3,detached,7,0,24.0,1,6,Student,11.97328074234431
drive,2,HOME_OTHER,0.7372199246810702,1,1,1,detached,5,1,87.0,1,3,Retired,9.20304342153581
pt,5,HOME_EDU,5.928345877537086,2,4,4,detached,7,1,14.0,0,1,Student,13.70651131687283
drive,4,HOME_WORK,29.346129977346443,2,2,5,detached,6,1,46.0,1,6,FTE,5.944410502985195
drive,3,HOME_OTHER,2.0809477080396697,2,2,0,detached,4,0,87.0,1,4,Retired,11.97748506672972
drive,5,HOME_WORK,20.61367753552016,1,1,0,duplex_townhouse,5,0,71.0,1,2,FTE,17.355196474141657
drive,3,HOME_WORK,26.164305950558088,2,3,0,detached,7,1,29.0,1,5,FTE,7.323982340616535
passenger,4,BUSINESS,12.902197467217498,2,4,2,detached,6,1,8.0,1,1,Homemaker,6.949655555624326
passenger,7,SHOPPING,0.7983569842131324,2,8,1,detached,7,1,72.0,1,6,Retired,11.659144359090792
drive,4,HOME_OTHER,1.3188520336941292,1,3,0,duplex_townhouse,1,1,60.0,1,2,Retired,10.031810151903256
drive,6,HOME_OTHER,4.871722503391288,0,1,0,appartment,3,0,55.0,1,5,PTE,17.469014618873054
drive,2,HOME_WORK,4.768260116351841,1,1,0,detached,2,1,39.0,1,6,FTE,6.5660184256364715
walk,1,SHOPPING,0.14993160634891456,1,2,0,appartment,4,0,42.0,1,5,FTE,15.252546362843386
passenger,7,HOME_EDU,2.6600016801532904,1,4,2,detached,3,0,3.0,0,1,Student,7.257802169958369
drive,2,SHOPPING,4.8669428471968725,1,1,0,appartment,1,0,63.0,1,2,FTE,19.941541025717395
drive,2,BUSINESS,1.707556863120775,2,4,1,duplex_townhouse,6,0,51.0,1,6,FTE,12.723966322123495
walk,4,HOME_OTHER,1.0613190886922375,0,1,0,detached,3,1,39.0,0,3,FTE,19.95478289649556
pt,1,HOME_EDU,0.6431236567839635,0,4,6,appartment,1,1,12.0,0,1,Student,7.4331431657801055
drive,1,ESCORT_TRANSFER,0.33304984092834733,2,2,0,detached,6,0,61.0,1,5,PTE,13.303231939956301
drive,4,HOME_WORK,15.21063069560077,2,2,2,detached,3,1,49.0,1,3,PTE,6.362779493526767
drive,1,SHOPPING,9.541486770802043,2,2,0,detached,7,0,64.0,1,5,FTE,15.111431466307954
drive,5,SHOPPING,10.978138173834022,3,1,0,detached,6,1,72.0,1,5,PTE,3.5293447989649236
drive,4,HOME_OTHER,2.9545488334192798,1,2,0,appartment,4,0,54.0,1,6,PTE,13.8168527212624
passenger,4,OTHER,9.833198813777898,2,2,2,appartment,6,0,50.0,1,6,Retired,13.434658112097804
passenger,3,HOME_OTHER,0.235779440591585,2,3,3,detached,7,1,63.0,1,5,Unemployed,16.200904920922422
drive,5,SHOPPING,0.7212062251762814,1,1,0,detached,3,0,55.0,1,5,FTE,12.673724946268727
walk,5,ESCORT_TRANSFER,0.24142238492654078,0,1,4,duplex_townhouse,7,0,79.0,1,5,Volunteer,15.112545355218753
drive,2,SHOPPING,0.02046915239845812,2,5,5,detached,6,0,53.0,1,5,FTE,15.826778651245984
passenger,1,HOME_EDU,0.901733787734805,3,5,5,detached,7,1,3.0,0,1,Student,15.49645985249176
drive,6,ESCORT_TRANSFER,0.436267735726386,2,2,0,detached,5,0,45.0,1,2,PTE,18.28310634672821
passenger,2,HOME_OTHER,0.4618703910738665,2,2,0,detached,3,0,9.0,0,3,Unknown,14.446231820578781
drive,3,SHOPPING,12.631427568298976,2,5,5,detached,7,0,50.0,1,6,PTE,14.579847067904247
walk,1,ESCORT_TRANSFER,0.3815053922403592,2,5,5,detached,7,1,40.0,1,5,FTE,8.181539503044423
drive,5,OTHER,0.13438220108730636,2,2,0,detached,7,1,84.0,1,3,Retired,6.749714609781994
walk,2,HOME_OTHER,0.1276268524427335,3,2,2,detached,7,0,35.0,1,5,FTE,8.919202251257541
drive,2,HOME_OTHER,2.918988880204449,2,4,1,detached,7,1,41.0,1,3,Retired,8.84168214730988
drive,3,HOME_OTHER,1.8017563889275532,2,2,4,detached,7,1,34.0,1,3,FTE,6.536264689163202
drive,5,OTHER,22.128458078533352,1,3,2,appartment,7,0,49.0,1,6,FTE,7.792868698990988
drive,4,HOME_OTHER,10.961087844948992,0,1,2,appartment,1,0,39.0,1,4,PTE,18.417986917197688
drive,1,HOME_OTHER,10.002712979731113,3,2,3,detached,4,1,60.0,1,3,FTE,19.875099325875354
drive,5,HOME_WORK,3.693043388795396,2,2,2,detached,7,1,53.0,1,2,FTE,18.86228806305641
drive,1,SHOPPING,11.560329160227756,1,1,0,detached,2,0,66.0,1,2,FTE,18.912743659352373
drive,3,ESCORT_TRANSFER,0.6953951162985669,2,4,2,appartment,4,1,5.0,1,5,Student,15.742379630097169
drive,2,OTHER,0.0369894900043918,1,1,0,appartment,5,1,34.0,1,6,FTE,21.05727530656245
drive,2,HOME_OTHER,2.5732424943370544,1,1,1,detached,2,0,52.0,1,3,PTE,11.516050341961542
passenger,5,BUSINESS,7.338344585744803,4,2,0,detached,6,1,48.0,1,5,FTE,13.330849292376723
drive,2,HOME_OTHER,0.3004662497617454,2,2,0,detached,4,0,80.0,1,5,Retired,14.989859269552113
drive,2,SHOPPING,6.57213186357123,0,2,0,appartment,2,0,85.0,1,2,PTE,15.068656524330095
passenger,3,ESCORT_TRANSFER,1.0263654966566456,1,1,0,appartment,4,0,70.0,1,5,FTE,21.612983013611668
walk,1,HOME_WORK,0.7132695634535313,2,2,2,detached,7,1,29.0,1,2,FTE,16.283775108109033
drive,5,SHOPPING,3.3086342498246997,2,2,1,appartment,3,0,48.0,1,6,FTE,18.327804597171138
drive,5,HOME_WORK,2.899691419451804,2,2,0,detached,5,0,55.0,1,6,FTE,12.899846688248793
drive,3,HOME_OTHER,2.762582604388213,1,1,0,appartment,3,0,80.0,1,5,Retired,9.577045991490028
drive,2,HOME_OTHER,4.503111450440375,3,2,5,detached,4,1,82.0,1,6,Volunteer,12.146996569662571
passenger,3,ESCORT_TRANSFER,1.2636450694978554,2,2,5,detached,6,0,59.0,1,1,Retired,6.117623730998798
drive,1,OTHER,3.473520970548322,2,5,2,appartment,7,1,41.0,1,5,FTE,13.299798546632426
passenger,6,HOME_OTHER,36.96571776283152,1,2,1,detached,2,1,80.0,1,5,Retired,6.446218203140928
drive,5,SHOPPING,5.231708887313888,2,2,0,detached,6,1,70.0,1,5,Retired,11.238023416717027
pt,4,HOME_OTHER,13.25488825210056,1,1,0,appartment,3,0,73.0,1,5,Retired,20.024867484904714
drive,4,SHOPPING,0.14525806433805233,2,2,2,detached,7,0,35.0,1,5,FTE,17.052272515953124
drive,2,OTHER,2.5195814634731404,2,5,3,detached,7,0,11.0,1,3,Student,11.368818757996332
passenger,1,ESCORT_TRANSFER,1.7266828965882222,2,3,3,detached,6,1,37.0,0,1,Unknown,16.721262844436335
walk,2,SHOPPING,1.3800184423404018,2,3,0,detached,3,1,29.0,0,5,Student,13.63144121552572
drive,3,HOME_WORK,15.379277222498926,3,2,0,detached,6,0,36.0,1,5,FTE,16.99124756718384
pt,1,SHOPPING,6.489540379062505,1,5,4,duplex_townhouse,2,1,45.0,1,3,FTE,17.04572224496242
drive,4,HOME_OTHER,0.18295256457278783,1,1,0,appartment,2,0,59.0,1,4,FTE,17.019822346350935
passenger,3,SHOPPING,6.170622359633786,1,2,0,appartment,3,1,46.0,1,4,Retired,14.006907497108266
drive,2,SHOPPING,20.339088433874522,2,2,0,detached,6,1,59.0,1,3,Retired,17.305248299772323
drive,2,SHOPPING,1.9306295156635391,1,2,0,detached,4,1,46.0,1,5,FTE,18.526216807814087
passenger,6,HOME_OTHER,0.8443564208511793,2,5,6,detached,6,0,38.0,1,6,FTE,11.766879642254237
walk,2,HOME_OTHER,1.4202235262511882,0,3,0,appartment,4,1,27.0,1,5,FTE,16.818721720366728
drive,2,SHOPPING,0.951642609830965,2,2,1,detached,4,0,68.0,1,4,PTE,16.42086558738335
drive,2,SHOPPING,1.3098043402230775,1,1,4,detached,6,0,72.0,1,4,Unemployed,8.897283335731174
drive,6,ESCORT_TRANSFER,8.208032534581648,3,3,0,detached,7,1,46.0,1,3,PTE,15.228230512007595
passenger,2,SHOPPING,1.8258452747469085,2,3,0,appartment,6,0,44.0,0,5,FTE,19.258217351418118
