choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
drive,1,HOME_OTHER,1.1092021891467367,2,2,0,detached,4,1,82,1,2,Retired,14.478303250540353
walk,5,HOME_EDU,0.22007357125505728,2,5,0,detached,7,1,15,0,1,Student,18.336630305303615
drive,6,HOME_OTHER,1.0763138217777208,1,2,0,detached,3,0,81,1,5,Retired,17.53667796303438
drive,1,HOME_WORK,3.4397774745957035,1,1,1,appartment,7,0,43,1,4,FTE,6.42912702264438
drive,3,SHOPPING,1.4892274749174648,1,1,0,detached,5,0,80,0,5,Retired,9.843100467881234
pt,5,HOME_WORK,32.78266019548367,0,2,6,appartment,7,1,63,1,6,FTE,7.636211511130987
pt,4,BUSINESS,3.41132137174247,2,4,4,detached,7,1,37,1,5,FTE,15.52850741414738
passenger,5,SHOPPING,0.2077685508680125,0,1,0,detached,1,0,56,1,3,Unemployed,9.772282175456908
drive,3,HOME_WORK,6.56975541714937,1,1,0,appartment,4,1,50,1,3,FTE,8.435177175364318
drive,2,HOME_WORK,42.27933905612648,1,3,2,duplex_townhouse,7,0,54,1,5,Unemployed,9.948233701723709
drive,1,HOME_OTHER,3.7350036092947274,1,2,0,detached,3,0,54,1,5,FTE,8.951377971873924
drive,3,HOME_WORK,7.15609163642527,2,2,0,detached,4,0,59,1,3,FTE,6.678768532705497
drive,4,SHOPPING,11.557142683330301,1,1,0,appartment,3,1,69,1,1,Retired,13.193944041251607
drive,2,HOME_WORK,8.225624622442847,1,1,0,appartment,5,1,33,1,5,FTE,6.9320820760250985
drive,5,HOME_OTHER,0.3049504401643563,4,5,7,appartment,6,1,39,1,5,PTE,22.045635205168058
pt,4,ESCORT_TRANSFER,9.603863452129437,1,2,2,appartment,7,0,42,1,6,FTE,14.611366720999973
drive,7,ESCORT_TRANSFER,4.43985407040088,2,2,2,detached,7,0,17,1,6,FTE,18.38299999064634
drive,2,SHOPPING,2.7490701146883225,1,1,0,detached,5,0,76,1,3,Retired,12.932661481265793
passenger,3,HOME_OTHER,10.912913284699435,1,3,2,detached,2,1,40,1,2,FTE,22.874695503356342
passenger,1,HOME_OTHER,0.15464513813219555,0,1,1,appartment,1,0,70,0,4,Unemployed,19.22098190869873
drive,5,HOME_OTHER,0.6808394339347813,3,3,1,detached,7,0,44,1,2,FTE,8.653385379018921
pt,2,HOME_EDU,0.4188843141294065,1,4,1,detached,2,1,8,0,1,Student,15.77270704162777
drive,3,OTHER,1.382718754563539,2,2,0,detached,7,0,57,1,5,FTE,9.8215078904707
drive,3,OTHER,11.091099865380999,3,5,3,detached,6,0,51,1,2,FTE,13.853301797171502
walk,3,ESCORT_TRANSFER,0.09053671718732063,0,1,0,appartment,1,1,53,0,5,Unemployed,21.43586278624893
passenger,4,SHOPPING,0.28370863054652823,2,5,2,detached,7,1,12,0,1,Student,15.448949005151269
drive,4,SHOPPING,10.55284651526048,2,4,4,detached,5,1,50,1,6,FTE,20.036419658047055
drive,1,HOME_WORK,2.1665774073335236,1,1,0,duplex_townhouse,3,1,55,1,5,Retired,16.956242511987487
drive,5,HOME_WORK,25.450092121524033,2,2,0,appartment,6,1,40,1,6,PTE,10.275513710580924
drive,1,OTHER,5.780206435524139,3,2,1,duplex_townhouse,3,0,57,1,3,PTE,12.635595579995222
pt,2,HOME_WORK,9.079186694481706,0,1,0,appartment,1,1,59,1,6,FTE,7.5336097829345885
walk,5,ESCORT_TRANSFER,0.08436501636875599,1,2,2,appartment,7,1,37,1,6,FTE,7.375265414422796
drive,2,ESCORT_TRANSFER,1.1143597173721644,2,2,0,detached,7,1,62,1,4,FTE,17.054792315750575
drive,5,SHOPPING,1.4317545762768462,2,2,2,detached,7,0,35,1,6,FTE,15.79686301239574
drive,6,HOME_OTHER,0.49135765153693434,2,2,2,detached,3,0,57,1,4,FTE,13.03403989565143
drive,5,HOME_WORK,8.700803250010638,2,3,1,detached,7,0,40,1,4,PTE,5.795169421991977
pt,1,OTHER,28.036026970715138,0,2,0,appartment,7,0,42,1,4,FTE,14.388826294464849
drive,5,HOME_OTHER,7.0299220818233055,1,3,0,detached,4,0,64,1,4,FTE,21.298215289959284
drive,1,SHOPPING,0.26768979276002064,2,3,0,detached,6,0,76,1,4,PTE,12.626424968145098
passenger,5,HOME_OTHER,0.2003911448547864,1,1,2,detached,2,1,60,1,2,Unemployed,19.359689569548145
drive,4,ESCORT_TRANSFER,0.42981385360460367,1,1,1,appartment,5,0,46,1,5,FTE,18.14859066126135
passenger,3,SHOPPING,6.510147667550307,1,1,0,appartment,3,1,19,1,5,Student,20.26903389549734
walk,1,SHOPPING,0.4849329319249597,2,4,4,detached,5,0,2,0,1,Student,12.923146967949325
passenger,5,HOME_OTHER,20.116990898771373,0,2,0,duplex_townhouse,5,0,47,0,6,Retired,20.601891581643027
passenger,4,HOME_OTHER,3.193613253752404,3,3,4,detached,7,1,16,0,1,Student,12.502592618390915
drive,2,HOME_WORK,7.498247813936746,2,2,0,appartment,7,0,33,1,5,FTE,17.630739983063705
drive,3,HOME_OTHER,0.779711221071805,2,4,0,detached,5,0,27,1,5,FTE,15.575676057774052
drive,5,BUSINESS,2.271461597565824,3,2,2,detached,7,1,60,1,2,Retired,15.08213369521068
drive,4,SHOPPING,0.505422336588066,2,2,4,detached,5,0,59,1,2,FTE,11.534982213818232
passenger,3,ESCORT_TRANSFER,1.4872424156621862,4,2,0,detached,7,1,51,1,6,FTE,15.12747761244412
drive,1,OTHER,2.233257207083851,3,5,3,detached,7,0,24,1,6,Student,3.4100381566684628
walk,3,ESCORT_TRANSFER,0.3792393008560651,0,1,0,appartment,1,1,49,1,2,FTE,8.092964019717762
drive,3,HOME_WORK,49.091357127583144,3,2,3,detached,7,0,35,1,2,Homemaker,5.4785321817141455
passenger,1,HOME_OTHER,0.49584991835123193,1,3,1,detached,2,0,2,0,1,Student,19.193014228477278
walk,4,ESCORT_TRANSFER,0.4102304645358024,1,1,1,appartment,3,1,80,1,5,Retired,15.562265823059954
drive,1,ESCORT_TRANSFER,0.2806359624129592,1,1,1,detached,5,0,37,1,6,FTE,14.06217155360489
passenger,3,HOME_OTHER,1.2654392448736511,1,1,2,appartment,7,0,56,1,5,FTE,18.04605630207785
drive,5,HOME_EDU,7.742689052100986,2,4,0,detached,7,1,7,0,1,Student,5.773599965569332
drive,3,HOME_OTHER,5.308576738164765,1,1,1,detached,2,1,67,1,5,Retired,14.660206950516624
pt,3,HOME_WORK,4.287210495496885,1,1,0,detached,5,1,52,1,2,FTE,7.671379806982413
