choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
pt,7,HOME_WORK,3.516294084891126,7,2,5,appartment,6,0,40,0,5,FTE,8.416622744268059
pt,3,HOME_WORK,21.441991334442722,4,4,2,detached,7,0,39,1,5,FTE,6.345830672594965
drive,5,HOME_WORK,6.454474515889662,3,2,0,detached,6,0,80,1,3,FTE,10.266487794301518
drive,1,HOME_WORK,6.688366247457035,2,2,0,detached,5,0,80,1,2,Retired,6.010893574615508
walk,2,HOME_WORK,0.1698724949141212,2,2,0,detached,3,0,73,1,3,Retired,18.4607845164834
drive,1,HOME_WORK,7.643607435823219,1,3,0,appartment,7,0,34,1,1,FTE,16.2340325957987
drive,4,HOME_WORK,2.001559926105245,1,4,1,detached,5,0,50,1,6,FTE,5.723140430565428
drive,5,HOME_WORK,48.230083870089175,3,2,1,detached,6,0,58,1,3,FTE,5.475358947390206
drive,4,HOME_WORK,12.188079908271177,5,5,5,detached,6,0,48,1,6,FTE,9.941408200317891
drive,3,HOME_WORK,9.981347536425295,3,4,4,detached,4,0,45,1,3,Homemaker,7.497564728712844
drive,3,HOME_WORK,18.741889391198637,1,1,0,detached,3,0,24,1,5,FTE,18.373040934180764
drive,3,HOME_WORK,3.45695329309407,1,1,2,appartment,1,0,52,1,3,PTE,16.69555112711121
drive,3,HOME_WORK,13.125838607006422,1,1,1,appartment,4,0,35,1,6,FTE,7.732565600776342
drive,1,HOME_WORK,0.28934013885600524,3,3,5,detached,6,0,47,1,6,Student,7.982065206784819
drive,7,HOME_WORK,4.936486066555807,2,2,0,detached,6,0,58,1,3,FTE,14.089385105813761
drive,5,HOME_WORK,23.162011618672228,1,1,1,appartment,7,0,50,1,6,FTE,17.045503111614416
drive,2,HOME_WORK,4.71217870488489,7,2,0,detached,7,0,42,1,5,FTE,5.5680993278384365
drive,5,HOME_WORK,24.62388292031991,2,2,2,duplex_townhouse,7,0,36,1,6,FTE,9.467559214246894
pt,4,HOME_WORK,2.7353268909876713,1,2,2,appartment,6,0,48,1,5,FTE,6.684831486302575
drive,3,HOME_WORK,1.6738083831936807,0,2,0,appartment,2,0,55,1,6,Retired,18.184660311736966
drive,5,HOME_WORK,0.3117491099524947,2,1,3,detached,6,0,61,1,4,Retired,5.451830997776597
drive,2,HOME_WORK,2.134992630163744,1,2,1,detached,1,0,39,1,6,FTE,10.357369768601517
pt,1,HOME_WORK,1.9175037051012664,2,2,1,detached,7,0,50,1,6,FTE,6.249720121327294
drive,1,HOME_WORK,3.3658950074562095,1,2,2,detached,5,0,60,1,6,FTE,13.74589267067585
pt,3,HOME_WORK,20.32861175909725,0,2,2,detached,3,0,50,1,3,FTE,5.656792411380087
drive,4,HOME_WORK,33.16709892080258,3,4,2,detached,7,0,29,1,6,FTE,15.293511320063383
drive,2,HOME_WORK,15.507567944428938,1,1,2,appartment,2,0,52,1,3,FTE,9.091567793252784
drive,5,HOME_WORK,0.5774691882561716,2,2,1,detached,6,0,32,1,4,FTE,7.673271928386464
pt,7,HOME_WORK,3.14455214520855,2,3,3,appartment,7,0,55,1,5,PTE,6.177435990607808
drive,4,HOME_WORK,0.46727863890647947,2,4,0,appartment,5,0,52,1,4,PTE,7.532475722731383
drive,1,HOME_WORK,4.546458793495398,1,1,0,appartment,6,0,69,1,6,Volunteer,9.741233922425636
drive,6,HOME_WORK,3.180767780079431,1,1,0,detached,4,0,68,1,3,FTE,9.156282549087301
drive,4,HOME_WORK,2.8140129215152223,4,3,2,detached,7,0,50,1,2,Homemaker,8.805966032873055
drive,2,HOME_WORK,3.7337586346946376,1,1,0,appartment,1,0,60,1,3,Retired,15.522774543427396
drive,2,HOME_WORK,1.715300035611926,2,2,2,detached,7,0,30,1,2,FTE,17.29997697169456
drive,5,HOME_WORK,4.3378379802628055,4,4,0,detached,3,0,43,1,4,FTE,16.29495688937331
pt,5,HOME_WORK,1.6197517141968851,0,1,0,detached,2,0,51,0,1,Unemployed,13.111874568809343
passenger,3,HOME_WORK,24.164768332314175,1,2,1,detached,1,0,43,0,4,Retired,5.416000095641985
drive,2,HOME_WORK,6.913083025526161,1,2,0,detached,7,0,63,1,5,FTE,5.795292626137235
drive,1,HOME_WORK,3.9490074056381617,2,3,2,detached,7,0,52,1,5,FTE,16.9849054496853
drive,3,HOME_WORK,3.3397925798996426,1,1,0,detached,7,0,29,1,6,Student,9.90116163397349
drive,7,HOME_WORK,4.19780458655083,0,1,0,appartment,1,0,30,1,2,Student,10.046070475662285
drive,4,HOME_WORK,6.287006235139917,0,1,0,appartment,1,0,77,1,2,Retired,14.975041496744703
drive,5,HOME_WORK,4.687831344833071,2,2,1,detached,6,0,60,1,6,FTE,15.551809699437833
drive,2,HOME_WORK,25.171099331362132,2,3,3,detached,3,0,25,1,2,Student,5.447395971917754
pt,1,HOME_WORK,26.182394688336473,0,1,0,appartment,1,0,47,1,3,FTE,15.55656737217806
drive,5,HOME_WORK,4.102377605387854,2,2,0,detached,6,0,51,1,6,FTE,7.688159944785981
drive,4,HOME_WORK,4.878092294280439,1,1,1,detached,1,0,69,1,3,Retired,21.755187471365858
pt,2,HOME_WORK,16.456889585914308,1,4,1,detached,2,0,26,1,2,Student,6.065831952175586
drive,3,HOME_WORK,1.6216440441776938,2,2,0,detached,4,0,45,1,4,PTE,2.1098431817209056
drive,3,HOME_WORK,21.6011490256361,1,2,1,detached,6,0,52,1,5,Retired,8.111386940090071
drive,3,HOME_WORK,37.76493165741557,1,2,0,detached,6,0,69,1,6,PTE,7.8841605406257935
drive,4,HOME_WORK,23.901919847522862,3,4,0,detached,6,0,32,1,5,FTE,17.070687186061836
pt,1,HOME_WORK,13.343123515893035,0,1,1,appartment,2,0,52,0,3,FTE,16.469568019197624
passenger,5,HOME_WORK,5.170762196501548,3,3,3,detached,3,0,30,1,3,Homemaker,19.67033350783937
drive,2,HOME_WORK,6.295094079271742,2,2,3,detached,7,0,35,1,5,PTE,17.300438382409585
pt,5,HOME_WORK,6.22622601890389,6,2,3,detached,7,0,46,1,5,FTE,17.160750438446456
drive,1,HOME_WORK,3.8880459707126924,0,2,6,appartment,3,0,27,0,5,Student,9.90362248317406
drive,5,HOME_WORK,9.96510849884173,1,3,1,duplex_townhouse,6,0,45,1,2,PTE,13.628315792759444
drive,2,HOME_WORK,4.704060037810481,2,1,0,detached,6,0,54,1,5,Volunteer,16.82066943475896
passenger,1,HOME_WORK,3.2420047921641078,2,2,0,detached,3,0,52,1,3,Homemaker,10.78566623637463
pt,3,HOME_WORK,3.520968817694841,2,3,0,detached,3,0,22,1,3,Student,6.534850730946808
drive,4,HOME_WORK,8.550877527492606,2,4,0,detached,3,0,28,1,4,Student,17.803498338487657
drive,2,HOME_WORK,2.8721437627846673,2,5,5,appartment,7,0,39,1,3,Homemaker,9.697355461338336
drive,1,HOME_WORK,4.035808898551837,3,5,3,detached,6,0,46,1,3,FTE,17.074265452796173
passenger,1,HOME_WORK,6.530771868886052,2,5,5,detached,6,0,18,1,5,Student,8.429467342309556
pt,5,HOME_WORK,17.691081155251325,2,3,1,appartment,3,0,21,1,2,Student,8.21998189512811
passenger,4,HOME_WORK,15.017911438792776,2,2,2,detached,7,0,57,1,5,FTE,1.1269238744014913
pt,3,HOME_WORK,17.01034801939348,1,1,0,appartment,7,0,43,1,4,FTE,20.974703144514947
drive,4,HOME_WORK,23.426456260223905,2,4,0,duplex_townhouse,1,0,52,1,1,Homemaker,15.297554685187846
drive,3,HOME_WORK,0.13084166551697549,2,2,1,detached,7,0,45,1,5,FTE,8.166658348802637
passenger,1,HOME_WORK,32.75357510942708,1,1,0,appartment,1,0,74,0,6,Retired,5.2469017087328425
walk,3,HOME_WORK,1.0214759911845113,1,2,0,appartment,4,0,65,1,5,FTE,8.495709053456173
drive,5,HOME_WORK,20.40458164188717,3,3,2,detached,1,0,51,1,5,Unemployed,12.563680960505167
passenger,5,HOME_WORK,8.409362275335178,0,2,1,duplex_townhouse,1,0,54,0,4,Unemployed,21.136921044308178
drive,5,HOME_WORK,0.3665698920894298,3,3,4,detached,7,0,35,1,6,Homemaker,14.414748226867617
pt,2,HOME_WORK,3.4662123224544343,3,3,0,duplex_townhouse,6,0,34,1,5,FTE,16.328241294435585
drive,1,HOME_WORK,15.291530560566619,2,1,1,detached,5,0,46,1,6,FTE,8.115990154946948
drive,1,HOME_WORK,5.354106484263711,4,4,2,detached,7,0,37,1,5,PTE,9.60301057166779
drive,3,HOME_WORK,0.7288128857909787,3,2,0,detached,7,0,53,1,4,FTE,7.66366755499808
pt,3,HOME_WORK,12.29999550797105,2,2,0,appartment,7,0,42,1,6,PTE,18.915872978711302
drive,3,HOME_WORK,0.08773416782944492,2,2,3,detached,5,0,62,1,6,PTE,5.405788218200546
drive,3,HOME_WORK,17.70932723638503,2,3,3,detached,7,0,33,1,5,Homemaker,16.612010081652926
drive,1,HOME_WORK,6.417392220336636,1,1,0,appartment,6,0,60,1,6,FTE,7.286936934960155
drive,2,HOME_WORK,11.667029527210932,1,1,0,duplex_townhouse,7,0,50,1,6,FTE,15.094307841810146
pt,3,HOME_WORK,18.393321654691672,2,4,0,appartment,5,0,46,1,5,Homemaker,5.883876083207582
drive,5,HOME_WORK,4.781884112473288,5,1,2,appartment,3,0,54,1,3,FTE,6.69851215866839
pt,2,HOME_WORK,5.127482101246266,0,1,0,duplex_townhouse,1,0,60,0,6,Retired,6.084824146032062
drive,1,HOME_WORK,12.302823609307474,2,1,0,detached,7,0,54,1,4,FTE,5.6871906897867675
drive,3,HOME_WORK,20.842798943029024,2,3,0,detached,7,0,48,1,6,FTE,7.1682662010230285
pt,5,HOME_WORK,4.861104897203117,1,1,1,appartment,3,0,41,1,3,FTE,10.139275310506216
drive,1,HOME_WORK,29.81432752746034,2,3,2,detached,5,0,20,1,6,FTE,17.12338208181763
drive,1,HOME_WORK,6.376822582094017,2,6,4,detached,7,0,31,1,4,PTE,19.10608629198236
passenger,1,HOME_WORK,4.9587613312768575,0,1,0,detached,2,0,58,1,2,FTE,18.79270522965644
drive,5,HOME_WORK,2.751003973076869,2,2,2,detached,6,0,45,1,6,FTE,6.316922161897485
drive,1,HOME_WORK,19.137513119087643,2,1,1,appartment,3,0,49,1,5,PTE,18.78781750802169
drive,4,HOME_WORK,32.964411882750255,2,3,1,duplex_townhouse,6,0,68,1,6,Retired,7.982700574159414
drive,4,HOME_WORK,1.1884553022469686,2,3,0,detached,1,0,59,1,2,PTE,8.990997397443465
drive,3,HOME_WORK,5.556706568950783,3,3,1,detached,6,0,60,1,5,FTE,6.83851927976912
pt,5,HOME_WORK,6.3416974358116365,3,1,1,detached,7,0,52,1,3,FTE,18.080514642732577
drive,3,HOME_WORK,27.989479446160935,2,2,0,detached,6,0,30,1,5,PTE,15.335302916384013
drive,1,HOME_WORK,16.1117733944087,1,3,2,appartment,3,0,45,1,3,PTE,6.72006067685375
drive,3,HOME_WORK,4.1535032780702466,4,5,6,detached,6,0,33,1,2,Student,8.323182909629494
drive,3,HOME_WORK,10.863056327056007,1,1,1,appartment,5,0,47,1,6,FTE,19.252825280411393
drive,2,HOME_WORK,14.266764838066154,3,4,0,detached,2,0,41,1,1,PTE,15.279598673659425
pt,2,HOME_WORK,2.0176538850756764,2,5,3,appartment,7,0,28,1,3,Student,17.643737201095398
drive,5,HOME_WORK,8.28486859107924,3,3,3,detached,7,0,29,1,3,Student,10.272350339056015
drive,5,HOME_WORK,10.659263670607812,1,1,0,appartment,3,0,39,1,3,FTE,9.773098685868398
drive,6,HOME_WORK,14.742474716242663,1,2,2,detached,7,0,53,1,6,FTE,14.95120366038083
drive,5,HOME_WORK,4.012654451708097,2,4,0,detached,7,0,55,1,6,FTE,2.7414563379073407
drive,5,HOME_WORK,12.225446499043478,1,2,2,duplex_townhouse,3,0,44,1,6,FTE,15.734563162422099
drive,2,HOME_WORK,2.6327787956182407,1,1,0,detached,2,0,52,1,3,Retired,6.417441222646279
drive,3,HOME_WORK,11.25000631010002,1,1,3,detached,4,0,29,1,5,FTE,11.538916140830668
drive,3,HOME_WORK,3.5422193416585372,2,4,0,detached,7,0,50,1,2,FTE,15.793343162413946
drive,4,HOME_WORK,11.11921016015523,1,3,1,appartment,3,0,39,1,3,Unemployed,6.027284738177008
passenger,3,HOME_WORK,16.98697737285983,1,1,0,detached,1,0,55,0,2,Unemployed,19.00387202957322
drive,2,HOME_WORK,4.447267555087365,1,3,0,detached,7,0,57,1,6,PTE,6.716176350888279
passenger,1,HOME_WORK,1.1557355092187251,1,2,2,appartment,2,0,39,1,5,Unemployed,20.55251057684092
drive,5,HOME_WORK,1.759174327737712,2,2,1,duplex_townhouse,7,0,56,1,3,FTE,17.08738089495655
pt,2,HOME_WORK,23.26330927615552,0,2,2,detached,1,0,28,1,2,FTE,14.303692665992243
cycle,7,HOME_WORK,11.378657705319682,0,1,1,detached,3,0,27,1,6,PTE,15.646371850974639
pt,2,HOME_WORK,15.66658059838418,3,3,0,detached,1,0,61,1,6,Retired,18.174702840421283
drive,1,HOME_WORK,5.261343823604976,3,3,0,detached,7,0,70,1,2,PTE,17.167785705187704
drive,3,HOME_WORK,1.111109628462292,0,2,3,detached,3,0,60,1,3,FTE,16.541576711503396
drive,4,HOME_WORK,27.080264687074333,1,1,0,detached,7,0,61,1,6,Volunteer,6.23671577827856
drive,2,HOME_WORK,16.834002285468422,1,2,1,detached,6,0,68,1,4,Retired,6.1022756413318895
drive,6,HOME_WORK,11.745119499947414,4,5,5,duplex_townhouse,6,0,31,1,5,Unemployed,9.854463705845488
walk,3,HOME_WORK,36.94319218387519,1,3,2,appartment,7,0,52,1,6,Unemployed,7.498939376538287
drive,2,HOME_WORK,0.8608327977336669,2,3,7,detached,7,0,39,1,5,FTE,17.348526392253543
drive,3,HOME_WORK,4.965932320076783,1,2,0,detached,7,0,65,1,6,FTE,18.965950312527525
pt,1,HOME_WORK,0.663172379659156,1,1,0,appartment,5,0,34,1,4,PTE,6.481374634606832
drive,4,HOME_WORK,10.242695679570879,2,3,1,detached,6,0,61,1,5,Retired,20.86125369587274
passenger,5,HOME_WORK,26.990029862740908,2,2,3,detached,7,0,58,1,6,FTE,7.0835456466251765
drive,1,HOME_WORK,4.702489636056759,1,1,0,appartment,4,0,33,1,3,FTE,5.3680609100032886
pt,4,HOME_WORK,8.875583002449813,1,1,0,appartment,4,0,46,1,6,FTE,7.145674813104182
drive,1,HOME_WORK,20.288089875885237,3,3,3,detached,7,0,33,1,3,FTE,6.592219884254675
drive,1,HOME_WORK,0.40184754298224357,1,1,1,detached,5,0,58,1,6,FTE,14.74337113520253
drive,3,HOME_WORK,1.7386246494184852,1,3,0,appartment,7,0,60,1,5,Homemaker,11.021371347622152
drive,5,HOME_WORK,9.011606866658616,5,6,2,detached,7,0,54,1,6,FTE,5.444312149526003
drive,3,HOME_WORK,3.4370104405376822,0,6,3,appartment,3,0,25,1,6,FTE,16.851595836544675
pt,6,HOME_WORK,5.2295851093357415,0,2,0,appartment,2,0,52,1,6,Unemployed,8.213373779356786
drive,5,HOME_WORK,14.99668374627286,2,1,0,duplex_townhouse,3,0,58,1,5,PTE,6.451852851831969
drive,4,HOME_WORK,13.74135912626265,2,2,2,detached,3,0,49,1,3,Unemployed,14.91781888613544
pt,4,HOME_WORK,1.8489928083416673,0,2,0,detached,7,0,61,1,3,FTE,19.19114604126313
passenger,3,HOME_WORK,9.921234470745855,1,1,1,detached,5,0,40,1,6,PTE,13.531882369461972
pt,4,HOME_WORK,6.884935284937325,0,1,1,appartment,4,0,48,1,3,FTE,5.424888094420202
drive,5,HOME_WORK,6.1467993918249775,3,2,3,detached,7,0,38,1,4,FTE,21.69572256790304
drive,3,HOME_WORK,5.322212720993104,1,1,1,appartment,2,0,60,1,2,Unemployed,6.395410316577221
pt,3,HOME_WORK,20.120291196417295,1,1,0,appartment,1,0,29,0,1,PTE,17.281301814424165
walk,3,HOME_WORK,1.3521545415731546,1,2,0,appartment,4,0,40,1,5,FTE,7.918205672974301
passenger,4,HOME_WORK,3.3304246128697796,0,2,0,appartment,2,0,51,1,4,Retired,15.262107387126932
drive,2,HOME_WORK,14.91171795407702,1,2,0,detached,3,0,58,1,2,Retired,6.905988424339267
drive,3,HOME_WORK,13.544827816625066,2,2,0,detached,7,0,54,1,4,Homemaker,18.58959433762954
drive,5,HOME_WORK,2.284192703541021,3,2,1,detached,6,0,37,1,6,PTE,5.548732674874648
drive,3,HOME_WORK,11.589181456027074,3,3,0,duplex_townhouse,3,0,52,1,2,PTE,5.548692900308069
drive,2,HOME_WORK,2.2426007052226216,1,2,1,duplex_townhouse,5,0,60,1,2,Retired,18.35326213831253
pt,5,HOME_WORK,4.833793091401684,1,2,0,appartment,2,0,61,1,5,Unemployed,21.017068413118352
pt,4,HOME_WORK,3.5971969043744427,4,1,4,detached,3,0,51,1,6,Retired,16.401000335056537
cycle,3,HOME_WORK,0.8439963885022872,2,5,5,detached,7,0,25,1,2,Homemaker,6.136010132774349
pt,3,HOME_WORK,4.292357286034204,1,1,1,appartment,5,0,61,1,5,PTE,14.917977742855431
drive,1,HOME_WORK,0.7950802016795114,1,1,0,appartment,2,0,54,1,6,Unemployed,10.59335275717333
pt,2,HOME_WORK,3.6058155745006184,2,2,3,appartment,2,0,29,1,6,FTE,17.558941324753164
