choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
passenger,4,HOME_WORK,44.898140134957536,2,5,3,detached,7,0,28,1,5,Homemaker,21.904465914389956
passenger,2,HOME_WORK,8.360676840527393,2,4,0,detached,3,0,29,1,5,FTE,19.902198666690758
passenger,3,HOME_WORK,1.654750402044002,2,5,5,detached,7,0,17,0,6,Student,18.686058458310722
passenger,5,HOME_WORK,14.92621864532289,2,5,3,detached,2,0,20,0,3,Student,21.693476607005554
cycle,2,HOME_WORK,4.957680028666379,2,5,1,detached,5,0,17,1,1,Student,5.7351572002293345
cycle,5,HOME_WORK,0.30271660523201216,5,5,2,detached,7,0,26,1,6,FTE,12.15091270599305
cycle,2,HOME_WORK,1.8715594456352918,2,2,1,appartment,6,0,28,1,3,FTE,17.208377411846893
passenger,2,HOME_WORK,18.066255652282035,0,1,0,appartment,3,0,29,1,5,Unemployed,16.542847000847452
passenger,5,HOME_WORK,12.998583625896721,2,2,2,detached,7,0,26,1,5,FTE,8.706937952472687
passenger,2,HOME_WORK,14.400725404299271,2,2,3,detached,7,0,26,1,6,FTE,17.70499808313391
passenger,2,HOME_WORK,33.186520208116505,1,3,2,appartment,7,0,26,1,1,Homemaker,9.473141112445767
passenger,2,HOME_WORK,1.0932919405742287,1,4,1,detached,2,0,19,0,1,Student,17.112373491002344
passenger,1,HOME_WORK,10.554649329753682,5,2,0,appartment,7,0,16,0,5,Student,16.563561683768764
passenger,1,HOME_WORK,26.59179755065668,2,3,2,detached,1,0,19,0,2,Student,15.411797381751459
passenger,1,HOME_WORK,6.522687053460321,3,3,3,detached,6,0,17,0,1,Student,17.626680427673094
passenger,4,HOME_WORK,11.315147782091612,1,2,0,appartment,7,0,23,1,5,FTE,8.422835741758576
passenger,4,HOME_WORK,18.544592793102275,2,2,0,detached,7,0,26,1,5,PTE,17.044445838650983
passenger,2,HOME_WORK,1.5982765649892896,3,3,3,detached,6,0,25,1,1,Student,21.264335212041367
passenger,4,HOME_WORK,4.108735783661897,2,2,0,detached,6,0,20,1,2,FTE,18.8274080356504
cycle,3,HOME_WORK,1.4233939640140953,2,2,2,detached,7,0,26,1,5,FTE,17.12395437596935
passenger,5,HOME_WORK,10.384927584774067,0,4,0,detached,3,0,20,0,3,Student,17.398510153307033
passenger,5,HOME_WORK,33.372636309185864,0,1,0,detached,1,0,28,0,2,Unemployed,19.3097437860442
