choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
passenger,5,ESCORT_TRANSFER,3.3083909959626823,4,4,0,detached,5,0,4.0,0,1,Unknown,15.28435285235824
passenger,2,HOME_EDU,5.862991538469759,3,5,3,detached,7,1,3.0,0,1,Student,8.329646074592125
passenger,7,SHOPPING,2.1989237098456687,2,2,2,appartment,7,0,23.0,1,5,Student,17.295691012588378
cycle,4,SHOPPING,2.1199478122503943,2,4,1,detached,5,0,19.0,1,1,Student,13.117112795861635
passenger,2,ESCORT_TRANSFER,2.1190628669940814,2,4,0,detached,7,0,5.0,0,1,Student,5.5082948528634335
passenger,2,HOME_OTHER,0.19202878726517478,1,3,0,detached,5,0,17.0,1,1,Student,7.505848065152176
passenger,7,OTHER,11.53332454306971,1,2,0,detached,7,0,29.0,1,6,FTE,12.770936601342978
passenger,1,OTHER,1.5284156638077524,3,5,4,detached,7,1,14.0,0,1,Student,7.09772633056476
passenger,5,ESCORT_TRANSFER,42.70627756927483,2,4,2,detached,7,1,15.0,1,6,FTE,6.909167802701946
passenger,1,SHOPPING,3.282942241365314,1,3,0,detached,7,0,8.0,0,1,Unknown,13.101987138242642
passenger,1,HOME_OTHER,1.450850397322801,1,1,1,detached,5,0,28.0,1,6,FTE,18.177466901517278
passenger,4,HOME_OTHER,3.347186536090471,1,2,1,detached,4,1,11.0,0,1,Student,15.368449633565207
passenger,5,HOME_OTHER,10.368978307454622,4,4,3,detached,3,0,20.0,1,3,Student,8.792643816662146
passenger,4,HOME_OTHER,4.454092705917377,1,4,1,detached,5,0,20.0,1,1,Student,12.77334916440704
passenger,5,HOME_EDU,3.2301697550384985,6,4,2,detached,2,0,10.0,0,1,Student,17.76547666893475
passenger,4,OTHER,4.138245947328346,2,3,0,detached,4,1,16.0,1,3,Student,11.38228428633417
passenger,2,SHOPPING,1.0884007735492112,2,3,2,detached,5,1,3.0,0,1,Unknown,13.944706348082244
passenger,5,HOME_OTHER,2.429972368928882,4,4,4,detached,3,0,5.0,0,1,Student,9.543484892496984
passenger,1,SHOPPING,1.0462940210374956,2,4,0,detached,6,0,16.0,0,1,Student,12.008057694137456
passenger,5,HOME_EDU,1.0443965431944595,2,3,3,detached,7,0,8.0,0,1,Student,11.504935331165079
passenger,1,HOME_OTHER,1.8966248438964555,1,3,0,detached,7,1,3.0,0,1,Student,6.445348416714382
passenger,4,OTHER,3.1426343680411484,2,2,0,detached,7,0,21.0,0,2,Student,12.277349464836469
passenger,3,HOME_EDU,5.846267072326884,3,4,4,detached,7,0,15.0,0,1,Student,6.398778381603308
passenger,4,HOME_OTHER,0.6173572932724272,3,3,0,detached,1,0,17.0,0,6,PTE,7.82610961122966
passenger,4,HOME_EDU,11.302705372068974,4,5,5,detached,7,1,10.0,0,1,Student,8.527341596487352
passenger,5,HOME_OTHER,1.2131886351110035,2,4,4,detached,6,0,12.0,0,2,Student,17.45583278409897
passenger,6,OTHER,1.7121789938457574,3,3,2,detached,4,1,15.0,0,1,Student,17.0341545147476
passenger,2,HOME_OTHER,17.500111945658062,1,2,2,duplex_townhouse,6,1,22.0,1,5,FTE,0.4338368749069845
passenger,5,SHOPPING,3.0033635329797104,2,2,2,detached,3,0,19.0,0,2,Student,16.298858427614185
passenger,2,HOME_WORK,2.415020431893637,3,3,1,detached,7,1,20.0,1,1,FTE,16.531277948609116
passenger,2,HOME_EDU,1.5807327179983175,1,3,2,detached,7,1,6.0,0,1,Student,9.861736469176025
passenger,2,ESCORT_TRANSFER,12.27033435721717,2,3,0,duplex_townhouse,3,0,1.0,0,1,Unknown,9.571917634627491
passenger,4,HOME_EDU,7.445238901315472,2,4,4,detached,5,0,9.0,0,1,Student,13.315144078637626
passenger,7,HOME_EDU,0.41830286145290624,4,5,4,detached,4,1,17.0,0,2,Student,17.141150154979304
passenger,5,HOME_EDU,1.2152391093050348,3,5,7,detached,6,1,2.0,0,1,Student,21.248785374226358
passenger,1,HOME_EDU,0.5099905086081382,2,3,3,detached,1,0,14.0,0,1,Student,11.838380938998524
passenger,7,OTHER,3.0415181290203903,1,1,1,appartment,2,0,19.0,0,1,Student,10.225840405650452
passenger,3,HOME_EDU,0.7105770595455985,3,5,5,detached,3,0,9.0,0,1,Student,14.343815082581418
passenger,1,HOME_EDU,3.593339383790727,2,5,2,detached,5,1,15.0,1,5,FTE,6.621243919048988
passenger,3,SHOPPING,0.5154058866901221,3,4,2,detached,1,1,13.0,0,1,Student,6.508302177866377
passenger,1,OTHER,3.9157028399069658,2,2,0,detached,7,1,20.0,1,4,FTE,15.082003996962058
passenger,4,HOME_OTHER,4.502597538647612,1,6,1,detached,4,0,21.0,1,2,FTE,9.064308471901283
passenger,7,SHOPPING,1.0942885404337142,2,4,4,detached,7,0,24.0,0,3,Student,12.696135507468552
passenger,7,ESCORT_TRANSFER,3.441483564815064,2,4,2,appartment,3,0,19.0,0,2,Homemaker,15.77792247198805
passenger,1,HOME_OTHER,1.7213452626756676,1,4,2,appartment,3,1,26.0,1,1,FTE,16.338123250971588
passenger,5,HOME_EDU,0.502277849340403,2,4,4,detached,7,1,3.0,0,1,Student,6.3770546774712455
passenger,2,HOME_OTHER,14.175015020613039,1,3,0,appartment,2,0,20.0,1,5,Student,9.728305480227434
passenger,1,HOME_EDU,1.415828068701964,2,4,0,detached,7,1,8.0,0,1,Student,9.774028477209654
passenger,5,SHOPPING,1.7116027331741712,2,5,6,detached,2,0,17.0,0,1,Student,7.8917092172749905
passenger,2,HOME_OTHER,2.617272224671541,2,4,3,detached,6,1,8.0,0,1,Student,19.345513574044695
passenger,2,HOME_EDU,1.3495333188473875,1,5,0,appartment,2,0,12.0,0,1,Student,11.116414694487878
passenger,5,HOME_OTHER,4.048958087059094,3,2,4,detached,7,0,11.0,0,1,Student,9.021778601092915
passenger,5,HOME_OTHER,16.43702884117266,2,6,3,detached,4,0,18.0,1,1,FTE,7.72386077115306
passenger,5,OTHER,7.4620099338680985,3,3,0,appartment,7,0,13.0,0,1,FTE,14.257245115284032
passenger,1,HOME_OTHER,6.0282493396210235,1,3,2,detached,6,0,1.0,0,1,Student,12.310169913141836
passenger,5,HOME_OTHER,0.8635228516661501,2,3,3,detached,5,0,27.0,0,5,Student,19.268157554698746
passenger,2,HOME_EDU,1.669034889496748,2,4,4,detached,6,0,3.0,0,1,Student,20.646162146251424
passenger,2,ESCORT_TRANSFER,0.17170220902051408,2,4,4,detached,6,1,12.0,0,1,Student,9.20588265928387
passenger,7,HOME_OTHER,3.3762437002996575,3,4,3,detached,7,1,7.0,0,1,Student,17.76551921373904
passenger,1,HOME_OTHER,4.922595289339551,2,4,2,detached,4,0,3.0,0,1,Student,15.85267505876061
passenger,4,HOME_OTHER,5.060286414651641,2,5,2,appartment,7,1,10.0,0,1,Unknown,6.577552446930182
passenger,1,SHOPPING,2.28145794108631,2,4,4,detached,6,0,21.0,0,1,PTE,17.95395486616092
passenger,5,BUSINESS,5.191405826594461,2,5,4,detached,6,0,22.0,1,3,Student,5.849925256927387
passenger,5,HOME_EDU,8.268168138724743,2,5,3,appartment,7,1,13.0,0,1,Student,9.514513233939486
passenger,4,SHOPPING,0.8663157126782203,1,3,0,detached,5,1,2.0,0,1,Unknown,10.312967788735257
passenger,5,SHOPPING,0.5059914669763826,0,6,2,appartment,2,0,21.0,1,5,Unemployed,17.460587353142614
passenger,1,HOME_EDU,11.891940279879972,2,3,3,detached,2,0,7.0,0,1,Student,8.327866486108151
passenger,4,OTHER,2.2093847549732266,1,2,0,duplex_townhouse,3,0,28.0,1,5,Homemaker,20.752633721875732
passenger,7,HOME_EDU,1.682423428746875,2,4,3,detached,5,0,13.0,0,1,Student,16.17179364165361
passenger,4,HOME_OTHER,1.291266252911019,3,4,4,detached,6,0,15.0,0,1,Student,18.3937230893609
passenger,3,OTHER,7.3709412183117005,2,4,0,detached,7,1,3.0,0,1,Student,18.528685440364033
passenger,1,HOME_EDU,0.6038140382051957,2,4,0,detached,4,0,15.0,0,1,Student,16.054749692601703
passenger,1,HOME_OTHER,1.1018217892180793,3,6,5,detached,6,0,19.0,0,1,Student,19.503498756371993
passenger,3,HOME_EDU,6.933381674573118,1,3,2,detached,3,0,9.0,0,1,Student,20.032782525113273
passenger,5,HOME_OTHER,0.5788268385162615,1,5,1,duplex_townhouse,2,1,1.0,0,1,Student,12.391902257003611
passenger,4,HOME_EDU,1.6603062255986123,3,4,0,detached,7,1,24.0,1,1,Student,21.295045156245962
passenger,5,SHOPPING,4.574850056461569,2,4,3,detached,7,1,12.0,0,1,Unknown,15.013957405534567
passenger,4,HOME_OTHER,2.9519974054839593,0,1,0,appartment,1,0,23.0,1,4,PTE,22.798939058673728
passenger,7,ESCORT_TRANSFER,4.3997454834898635,2,4,4,duplex_townhouse,7,0,17.0,1,1,Homemaker,19.527785756560633
passenger,1,SHOPPING,0.9785941126465328,2,3,2,detached,7,1,1.0,0,1,Unknown,17.091137624537183
passenger,7,HOME_WORK,18.661361988859564,1,1,0,duplex_townhouse,2,1,23.0,0,5,FTE,16.961249587703676
passenger,5,HOME_EDU,0.28875720895048723,2,2,4,detached,7,0,18.0,0,1,Student,16.250225276091758
passenger,2,HOME_EDU,0.4937208083652588,2,5,3,detached,6,0,9.0,0,1,Student,7.778881153440727
passenger,2,HOME_EDU,2.8154632572474037,1,4,0,detached,1,0,5.0,0,1,Student,10.964421379372213
passenger,3,SHOPPING,1.6104476324494665,1,1,1,appartment,1,0,13.0,0,1,Student,19.1847784941383
passenger,4,HOME_OTHER,3.92168246970256,1,1,0,detached,3,0,20.0,0,1,Student,10.94958124094773
passenger,2,OTHER,0.7186825601609116,2,2,0,detached,6,0,11.0,0,1,Student,18.89627716246303
passenger,1,ESCORT_TRANSFER,0.5070856322998043,4,5,5,detached,7,0,24.0,0,1,Student,22.31707914918801
passenger,2,SHOPPING,0.41985034455582965,3,2,0,detached,7,0,20.0,1,1,Student,17.063442946469674
passenger,1,HOME_EDU,2.270213650647881,3,3,1,detached,7,1,19.0,1,5,Student,16.67478123448448
passenger,7,ESCORT_TRANSFER,2.1128415402369343,2,3,0,detached,7,1,24.0,1,2,FTE,19.359904562266582
passenger,3,SHOPPING,6.0261379555148,2,5,2,duplex_townhouse,5,0,5.0,0,1,Unknown,6.815564746823698
passenger,3,HOME_OTHER,2.078928916882432,3,4,0,detached,7,0,16.0,1,1,Student,14.738521932434328
passenger,1,HOME_OTHER,4.9062118489852375,1,3,3,detached,7,0,20.0,0,1,Student,18.256739455149145
passenger,4,HOME_OTHER,0.04003629787437161,2,4,0,duplex_townhouse,7,1,1.0,0,1,Student,15.95996927577421
passenger,4,HOME_OTHER,0.8488852097365966,2,5,1,detached,3,0,13.0,0,1,Student,14.65394157755777
passenger,5,HOME_OTHER,0.39476906956716745,2,4,2,detached,1,1,25.0,1,2,Student,21.65396933427701
passenger,4,OTHER,13.208312409093308,1,5,2,duplex_townhouse,3,1,19.0,1,3,FTE,10.09834517958793
passenger,5,HOME_OTHER,12.18006566322447,1,5,3,detached,2,0,17.0,0,4,Unemployed,12.261987389174408
passenger,3,SHOPPING,4.983869263772526,2,4,0,appartment,6,0,14.0,0,1,Student,10.768038886765643
passenger,4,HOME_OTHER,2.8338754391334886,3,3,4,detached,6,0,-0.0,0,1,Student,9.843186322738362
passenger,5,HOME_OTHER,1.1278799571811915,2,5,0,appartment,1,0,23.0,1,2,Retired,10.862627851049053
passenger,3,HOME_OTHER,0.597342690932431,0,4,0,appartment,1,1,18.0,0,1,PTE,21.64979567067028
passenger,1,HOME_WORK,13.042116427537055,2,3,0,detached,2,0,16.0,0,1,Student,15.031043433483157
passenger,4,HOME_EDU,6.010566988605631,2,4,6,detached,6,1,16.0,0,1,Student,19.57374297027172
passenger,4,ESCORT_TRANSFER,0.8686674499481359,2,4,4,detached,7,0,20.0,0,1,Student,9.786054361662902
passenger,7,HOME_OTHER,1.3042193473382433,1,2,0,detached,7,1,12.0,0,1,Student,12.606587881378296
passenger,1,SHOPPING,18.983853105314644,2,4,6,detached,7,0,13.0,0,1,Student,15.637211269736301
passenger,7,HOME_OTHER,2.428264469714942,3,4,2,detached,5,1,19.0,1,5,PTE,6.579660984014585
passenger,1,SHOPPING,2.2994638967871777,2,3,0,appartment,6,0,9.0,0,3,Student,13.449599558753151
passenger,4,HOME_OTHER,0.12326900380979995,2,5,2,detached,2,0,7.0,0,1,Student,20.626543728123256
passenger,1,HOME_EDU,3.794911644267878,3,4,4,detached,5,1,9.0,0,1,Student,21.90274080563169
passenger,4,HOME_OTHER,1.2271546919969287,1,5,1,appartment,7,0,21.0,1,5,Student,13.558862704438015
passenger,3,SHOPPING,1.1686914694541948,3,4,6,detached,7,1,5.0,0,1,Student,19.210864553546806
passenger,2,HOME_OTHER,19.291441275463264,2,4,4,detached,7,0,5.0,0,1,Student,17.870396507534664
passenger,1,HOME_OTHER,3.444333314521618,3,3,2,detached,2,1,15.0,0,1,Student,20.710460984953347
passenger,2,HOME_EDU,3.8392637220364323,1,4,0,detached,2,0,17.0,0,3,Student,8.507107579221875
passenger,1,HOME_OTHER,1.2195938323308586,2,4,4,appartment,7,0,16.0,0,1,Volunteer,18.72867098614876
passenger,5,OTHER,2.1420532453010432,1,3,0,detached,6,0,4.0,0,1,Unknown,14.324734364090968
passenger,4,HOME_OTHER,10.750474338838552,2,2,4,detached,6,1,29.0,1,2,PTE,17.33447520528829
passenger,4,ESCORT_TRANSFER,3.868060928254166,2,5,4,detached,5,0,2.0,0,1,Student,9.728584796947713
passenger,5,ESCORT_TRANSFER,3.954133435985996,2,4,2,detached,7,0,27.0,1,3,FTE,7.79663823382525
passenger,3,HOME_EDU,2.6380580522711226,5,5,2,duplex_townhouse,3,1,21.0,1,6,Student,21.923019495392232
passenger,3,HOME_OTHER,8.341834593503501,2,4,2,detached,6,0,16.0,1,1,Student,19.125046347443362
passenger,4,ESCORT_TRANSFER,4.096897377702432,1,5,0,detached,4,1,7.0,0,1,Student,16.944815045312666
cycle,2,HOME_EDU,0.5156439233683914,2,4,4,detached,6,1,4.0,0,1,Student,16.926337861155265
passenger,1,SHOPPING,1.4782642427188843,2,5,3,detached,6,1,1.0,0,1,Unknown,16.041530557771285
passenger,6,SHOPPING,0.7109853959011893,2,4,0,detached,3,0,1.0,0,1,PTE,14.528233867830918
passenger,2,HOME_WORK,1.6190751622499682,2,4,0,detached,1,0,13.0,0,1,PTE,7.724102429939945
passenger,1,HOME_OTHER,1.1693136818781262,1,5,3,detached,6,0,29.0,0,1,Student,11.067691178714032
passenger,7,HOME_OTHER,1.2081968140603117,4,5,5,detached,5,0,11.0,0,1,Student,18.043068030335714
passenger,1,ESCORT_TRANSFER,0.6345326320762569,3,6,6,detached,7,0,4.0,0,1,Student,16.047679230037144
passenger,4,HOME_OTHER,0.4192634586039434,1,3,0,detached,1,0,-0.0,0,1,Student,15.725764020635577
passenger,6,HOME_OTHER,5.626521349859527,2,5,0,appartment,6,0,24.0,1,3,Homemaker,9.394793606282505
passenger,5,HOME_EDU,9.165876502272909,2,3,0,duplex_townhouse,7,0,7.0,0,1,Student,16.48663563633161
cycle,6,BUSINESS,0.6346106325865479,2,4,2,detached,7,1,21.0,1,6,Student,10.042106807097554
passenger,5,HOME_EDU,1.941069466746789,2,3,1,detached,6,1,21.0,1,3,FTE,19.27895277773349
passenger,5,HOME_OTHER,0.4449334694209222,1,3,1,detached,3,0,3.0,0,1,Unknown,21.797525976405844
passenger,6,HOME_WORK,6.3121472405701,2,3,2,detached,7,0,12.0,0,1,Student,5.501843311434328
passenger,1,SHOPPING,2.022013957724973,2,5,0,detached,6,0,15.0,0,1,Student,15.870249879828782
passenger,2,HOME_OTHER,4.427558387254684,1,2,1,appartment,4,0,8.0,0,1,Student,14.440003685425685
passenger,1,HOME_OTHER,1.5271898623013065,2,4,0,detached,7,0,9.0,0,1,Student,13.098536148066442
passenger,3,HOME_EDU,29.21034070280315,0,1,1,detached,7,0,18.0,0,1,Student,7.352811337685526
passenger,4,HOME_OTHER,4.819191457730058,2,4,4,detached,3,0,14.0,0,1,Student,10.057271404753433
passenger,4,HOME_OTHER,2.3438816113115797,2,5,2,detached,2,1,7.0,0,1,Student,8.100542752135416
passenger,5,SHOPPING,0.08313546053174549,2,4,4,detached,6,1,4.0,0,1,Student,16.036535802408984
passenger,2,SHOPPING,1.1503721741916122,1,4,6,detached,4,1,23.0,1,1,Student,13.975541308505983
passenger,1,ESCORT_TRANSFER,0.9708696205381573,2,4,3,detached,7,0,20.0,1,3,FTE,17.461274427557846
passenger,3,OTHER,1.171968155575899,2,2,2,detached,7,1,8.0,1,1,Unknown,12.921142894300381
passenger,1,HOME_OTHER,1.1374133229035686,2,4,2,detached,3,0,1.0,0,1,Student,10.11712184703282
passenger,5,ESCORT_TRANSFER,2.1854593548008885,2,3,0,appartment,3,0,20.0,0,3,Unemployed,7.21777446097624
passenger,4,ESCORT_TRANSFER,1.30492498690663,2,2,0,appartment,7,1,29.0,1,3,FTE,8.934536469986657
passenger,4,SHOPPING,1.5010899146585794,2,2,4,detached,7,1,24.0,1,2,Homemaker,11.832125918145096
passenger,2,HOME_OTHER,1.5104030955172325,2,3,1,detached,1,0,17.0,0,1,Student,16.050592647478723
passenger,4,SHOPPING,3.368390746758277,1,3,0,detached,2,0,12.0,0,3,Student,9.825191249471313
passenger,2,OTHER,2.4925937157980647,1,7,2,detached,6,0,3.0,0,1,FTE,11.657733894340813
passenger,5,ESCORT_TRANSFER,1.0526085201083537,2,5,0,detached,6,0,17.0,1,4,Student,7.594540983123232
passenger,3,HOME_OTHER,0.8771527871108259,1,1,0,appartment,2,1,11.0,0,1,Student,16.717297864557068
passenger,2,HOME_OTHER,1.6192183087079393,3,7,5,detached,6,1,14.0,0,1,Student,21.47388748204584
passenger,2,HOME_OTHER,2.950777240621236,1,2,0,detached,7,0,21.0,1,6,FTE,16.615030091809928
passenger,3,SHOPPING,0.9400925086848194,2,3,2,detached,7,0,11.0,0,1,Student,16.03625179638628
passenger,3,HOME_OTHER,0.598842196699889,2,4,0,detached,7,1,10.0,0,1,Student,8.323977754220165
passenger,2,HOME_OTHER,3.746544605501528,1,3,2,duplex_townhouse,4,1,8.0,0,1,Unknown,13.06855013365788
passenger,4,HOME_OTHER,0.38574527554796423,2,4,1,detached,6,0,5.0,0,1,Student,22.455108596797434
