choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
walk,1,SHOPPING,-0.14539008448952528,2,3,3,detached,7,1,48.0,1,6,PTE,12.56190583363785
pt,3,HOME_WORK,5.459246585169941,2,2,0,detached,7,1,52.0,1,6,FTE,18.62744080319831
drive,2,SHOPPING,6.685777165938159,2,2,1,detached,6,0,62.0,1,2,Retired,14.722829952178941
drive,2,HOME_WORK,11.340222277735815,1,1,1,duplex_townhouse,5,0,59.0,1,3,FTE,6.774893741175305
passenger,2,SHOPPING,0.16857256026765355,2,2,0,detached,7,1,47.0,1,6,FTE,14.676160612305113
walk,2,SHOPPING,0.09333216176862069,1,3,0,appartment,7,1,-0.0,0,1,Unknown,13.033952288111639
passenger,2,HOME_OTHER,0.8443663357311543,1,2,0,detached,5,0,63.0,1,5,Retired,7.145800861715837
walk,2,HOME_OTHER,-0.06360565712050037,1,1,0,appartment,3,0,58.0,1,5,FTE,21.909774500131967
passenger,1,SHOPPING,0.22017001979964013,1,1,0,appartment,5,0,76.0,1,3,Retired,18.092572268666334
passenger,6,HOME_OTHER,0.7606783288081365,0,1,0,appartment,3,0,50.0,1,2,FTE,8.659487299716714
pt,5,HOME_OTHER,7.427208270291757,1,2,1,detached,4,0,27.0,1,5,FTE,22.11728445956278
walk,2,HOME_OTHER,0.9009278507901376,2,2,0,detached,6,0,44.0,1,6,PTE,12.390817462111182
pt,3,HOME_WORK,16.063827596652096,2,2,0,detached,3,1,44.0,1,4,FTE,17.57653478880606
pt,4,BUSINESS,0.35250289862187056,1,1,0,appartment,2,0,28.0,1,2,FTE,9.32159874978847
drive,3,HOME_OTHER,2.8365759506534984,2,5,3,detached,7,1,44.0,1,5,FTE,18.315122548884748
drive,4,OTHER,1.8443210742307943,2,3,1,duplex_townhouse,7,0,47.0,1,5,FTE,14.559247103112805
pt,1,HOME_WORK,13.846302468555926,0,2,0,appartment,2,0,26.0,0,3,FTE,9.075819918358851
drive,2,HOME_OTHER,0.10534301414285041,1,1,1,appartment,7,0,29.0,1,2,FTE,12.67450670816494
drive,5,SHOPPING,6.088516604338601,2,2,0,detached,3,0,48.0,1,5,FTE,11.877452071747754
drive,4,HOME_OTHER,0.674933597972607,2,1,0,detached,3,1,47.0,1,3,FTE,11.22930158108231
drive,2,SHOPPING,0.0741062540978048,1,2,2,duplex_townhouse,6,1,58.0,1,4,FTE,8.687805549937755
walk,7,HOME_OTHER,-0.10079333068885687,0,1,0,appartment,1,1,63.0,0,2,Retired,14.523210319816094
passenger,4,ESCORT_TRANSFER,2.953883702163229,1,2,2,appartment,1,1,72.0,1,2,Retired,14.397103184896922
walk,4,HOME_OTHER,-0.09917212783114915,1,1,0,duplex_townhouse,3,1,72.0,1,5,FTE,22.211971321486143
walk,5,HOME_OTHER,-0.13027815785160635,1,1,0,detached,4,0,62.0,1,5,Retired,14.549750653156208
