choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
drive,1,HOME_OTHER,2.9648126003197155,1,1,0,detached,5,1,54,1,5,FTE,19.251534432765155
pt,1,HOME_OTHER,4.963837831543507,0,1,0,appartment,3,0,61,1,5,Retired,13.078108042983505
passenger,4,OTHER,6.017307699047777,1,3,0,detached,3,0,0,0,1,Student,11.102520005246042
passenger,2,HOME_EDU,5.734191286177992,2,4,0,detached,3,0,16,0,1,Student,18.775371928809573
pt,5,HOME_OTHER,11.0999176086979,0,1,0,appartment,6,0,55,1,5,FTE,17.67364122256366
drive,3,HOME_WORK,35.34298236522901,3,2,0,detached,7,1,56,1,6,FTE,15.66534058096283
pt,3,HOME_WORK,5.552122200906919,1,1,0,appartment,5,0,57,1,2,FTE,6.725436890332688
drive,3,HOME_WORK,9.047656935671267,1,2,0,appartment,2,1,30,1,2,FTE,5.782929376699413
drive,2,SHOPPING,0.9896949383167997,1,1,0,appartment,5,0,58,1,6,Retired,12.95044516986639
drive,1,SHOPPING,2.2150535940605476,1,1,1,detached,6,0,57,1,6,FTE,11.778495116693627
drive,4,HOME_OTHER,13.557694451196424,3,3,0,detached,7,0,53,1,5,FTE,11.847194022792433
drive,3,HOME_OTHER,2.978659242647976,2,2,0,detached,3,0,64,1,2,Retired,12.18002242518098
passenger,4,HOME_OTHER,0.9895212772833442,2,4,0,detached,3,0,44,1,2,PTE,8.268525384121059
pt,5,HOME_OTHER,3.316775105631176,1,1,0,appartment,5,0,38,1,6,FTE,20.35312305149691
walk,1,SHOPPING,1.68258914310824,1,1,0,appartment,3,0,51,1,5,Unemployed,12.53592352411284
drive,2,HOME_WORK,11.43167774130388,1,1,0,appartment,4,1,51,1,5,FTE,8.135774163953135
drive,1,SHOPPING,2.4889857437326235,2,3,1,detached,7,1,32,1,3,Student,14.169010114835903
drive,2,HOME_WORK,2.9638631017505395,1,2,0,appartment,5,0,24,1,6,PTE,7.353634981349883
walk,3,SHOPPING,2.141976691185159,1,1,0,appartment,3,0,58,1,6,PTE,13.360007957484472
walk,3,OTHER,1.9787106389366569,1,2,2,appartment,7,0,35,1,6,FTE,12.801327967432156
walk,1,SHOPPING,2.9740263709693293,1,1,0,detached,3,0,56,1,5,PTE,11.158843804618375
pt,2,HOME_WORK,2.642573819532586,1,1,0,appartment,3,1,36,1,5,FTE,17.531728111095585
drive,2,ESCORT_TRANSFER,3.5193745557160296,2,2,0,detached,7,0,41,1,5,FTE,16.27624290250325
passenger,5,SHOPPING,1.650010594249769,1,2,0,detached,2,0,58,0,2,Unemployed,11.454389534923477
drive,2,HOME_OTHER,2.717866725285314,2,2,0,detached,5,1,70,1,5,FTE,7.647149304375708
drive,5,SHOPPING,13.072985340659862,1,1,0,detached,3,0,54,1,5,FTE,12.6744893432206
drive,2,OTHER,9.055654236940727,2,2,0,detached,7,1,62,1,6,FTE,7.290582696714921
drive,6,HOME_OTHER,6.366571888636858,2,2,2,detached,7,1,44,1,5,FTE,20.338010617837185
drive,3,HOME_OTHER,2.515359652758873,2,4,7,detached,7,0,51,1,5,PTE,15.944287385637393
walk,1,HOME_WORK,3.8801844449767717,1,1,0,appartment,3,0,51,1,5,FTE,14.036604919764677
passenger,3,ESCORT_TRANSFER,1.9060691646667873,1,2,0,appartment,2,0,55,1,2,FTE,6.331216441269606
drive,3,HOME_OTHER,3.0371976072364424,2,2,0,detached,3,1,81,1,2,Retired,16.240302084340072
pt,3,OTHER,1.8874024748035028,1,1,1,appartment,6,0,46,1,6,FTE,16.714825860570397
drive,2,HOME_OTHER,6.094177990115514,2,2,0,detached,6,0,61,1,3,Retired,11.783421946671098
drive,5,SHOPPING,2.7408941906812165,1,1,0,appartment,3,0,35,1,6,PTE,12.522606550114467
passenger,1,ESCORT_TRANSFER,1.360416894612356,2,4,1,detached,1,0,15,0,1,Student,16.76746874332745
drive,1,SHOPPING,3.4162509016408116,1,1,0,detached,1,0,61,1,2,PTE,13.09920772812913
pt,2,HOME_WORK,5.848999013555989,1,1,0,appartment,5,1,34,1,5,FTE,7.581887376138438
pt,2,HOME_OTHER,5.689282042727535,1,1,0,appartment,3,0,61,1,5,FTE,15.413800224664602
pt,5,SHOPPING,2.723977360974435,0,1,0,appartment,1,0,61,0,3,PTE,11.411177539506328
drive,7,HOME_OTHER,0.9913744742429087,2,3,2,detached,7,0,60,1,6,FTE,19.387149514593403
drive,2,HOME_WORK,2.8711762118897415,2,4,0,detached,6,1,33,1,2,FTE,8.226788878371735
drive,1,HOME_WORK,2.477786904360305,1,2,0,detached,1,0,32,1,3,FTE,16.704716603160414
drive,2,HOME_WORK,8.322105638778542,2,2,0,detached,7,1,59,1,3,FTE,7.48889371439704
drive,5,HOME_OTHER,11.003579758233776,1,1,0,appartment,3,1,28,1,5,FTE,8.308642232023375
drive,3,SHOPPING,2.439991819512523,2,2,0,detached,7,1,64,1,6,Volunteer,10.262365349267865
drive,1,HOME_WORK,7.2080473293607055,6,5,4,detached,7,0,34,1,5,FTE,9.013610583283976
passenger,5,HOME_OTHER,6.050771298636279,1,2,0,detached,3,0,45,1,2,FTE,15.846781337447787
drive,5,HOME_OTHER,2.8404044867461757,1,2,1,detached,3,1,32,1,3,FTE,17.52621921428568
pt,3,HOME_WORK,25.475060712293885,0,1,0,appartment,3,1,50,1,3,FTE,7.765194407520525
passenger,1,SHOPPING,2.784047823014313,1,2,0,detached,4,1,73,0,2,Retired,9.401610407693557
drive,4,HOME_WORK,2.3091456152042515,2,2,2,detached,7,1,44,1,6,FTE,7.8936914802057885
drive,3,ESCORT_TRANSFER,2.813412079635734,3,4,4,detached,6,0,52,1,5,PTE,16.443654291421232
passenger,6,HOME_OTHER,2.2666678150829966,0,1,0,appartment,3,0,38,1,5,FTE,11.011944357286522
drive,5,HOME_OTHER,2.5233939933882263,2,2,0,detached,6,0,57,1,5,Retired,9.03346725419889
passenger,4,HOME_OTHER,1.6808258787792953,1,2,0,detached,2,1,90,1,1,Retired,12.178017647722955
drive,3,HOME_OTHER,7.559845249105047,1,2,0,detached,3,0,57,1,2,FTE,16.756246963856245
drive,1,ESCORT_TRANSFER,1.7136559051729872,1,3,0,appartment,1,1,31,1,2,PTE,15.618924737819762
drive,2,HOME_OTHER,7.42100691271744,3,3,0,detached,7,0,64,1,6,Volunteer,12.592136145519339
drive,4,HOME_WORK,3.7792429147767757,2,4,3,detached,7,1,43,1,5,PTE,7.95317068801191
drive,1,SHOPPING,2.029313647326665,1,2,0,detached,2,0,64,1,2,Volunteer,12.119534130406088
passenger,3,HOME_OTHER,14.673387757772648,2,2,0,detached,3,0,75,0,2,Retired,12.486974761637152
walk,4,HOME_WORK,1.6085845764490667,2,4,0,detached,7,1,38,1,2,PTE,6.777678811360172
drive,4,SHOPPING,1.7318109492175064,2,2,0,detached,7,1,69,1,5,PTE,12.41695602012378
passenger,5,HOME_OTHER,3.9544306973940673,1,3,0,detached,2,0,66,1,2,Homemaker,9.805370007622063
passenger,3,HOME_OTHER,0.9889548888085478,2,3,0,detached,3,0,67,1,2,Retired,16.143035303478104
pt,2,HOME_WORK,3.691847647994752,0,1,0,appartment,2,0,34,1,5,FTE,7.5446725238102985
pt,3,HOME_WORK,29.48310949231778,2,3,0,detached,5,1,49,1,2,FTE,0.9564591571757424
passenger,5,HOME_OTHER,2.0643811770882143,2,3,0,detached,3,1,24,1,2,FTE,21.298424096075593
drive,2,HOME_OTHER,26.423988564801334,2,2,0,detached,7,0,54,1,6,FTE,18.374051975801457
drive,1,HOME_WORK,2.2673050588805403,1,1,0,detached,7,0,57,1,6,PTE,7.357823204943828
drive,1,HOME_WORK,3.716223423240138,1,1,0,appartment,4,1,54,1,5,FTE,5.86787315449436
drive,1,HOME_OTHER,1.8527100349292405,1,1,1,appartment,3,0,52,1,5,FTE,12.339136293964627
pt,5,HOME_OTHER,2.4588428300183662,0,1,0,appartment,2,0,55,1,2,FTE,17.085507554256537
pt,3,HOME_WORK,13.774345013794392,1,2,0,appartment,3,1,34,1,5,FTE,19.101856600750615
drive,2,SHOPPING,1.1404341728234435,2,2,0,detached,7,1,69,1,6,PTE,10.82276810550567
drive,5,HOME_OTHER,1.649738978591976,1,1,0,appartment,1,1,54,1,3,FTE,9.307341901093817
drive,1,ESCORT_TRANSFER,0.8136155755509673,3,4,2,detached,3,0,29,1,2,PTE,15.558852602381428
walk,6,SHOPPING,1.4791908154323745,1,2,0,detached,7,0,59,1,6,FTE,13.571234621965953
drive,1,SHOPPING,3.061650510836671,1,1,1,detached,2,0,48,1,5,PTE,14.188168266819966
drive,2,SHOPPING,4.627583106448071,2,2,0,detached,7,0,53,1,2,FTE,17.275369971961705
pt,1,HOME_WORK,3.8933284705159767,0,2,0,detached,3,0,59,0,2,PTE,6.672741328452625
drive,1,HOME_WORK,4.357279723557072,2,3,0,detached,7,1,45,1,6,PTE,17.70952870668946
drive,5,HOME_OTHER,10.941733376330712,3,3,0,detached,6,1,23,1,2,FTE,22.880992808894597
drive,3,SHOPPING,2.915148276150651,2,1,0,detached,6,0,84,1,5,Volunteer,10.711368036079318
drive,1,HOME_WORK,2.4191054549464566,1,1,0,appartment,5,0,55,1,6,PTE,8.509586520172908
drive,1,SHOPPING,2.61158164641287,1,1,0,detached,5,0,54,1,3,FTE,18.109546297773033
drive,2,HOME_OTHER,2.57450056157598,1,1,0,detached,5,0,66,1,5,FTE,20.40430625316967
drive,3,HOME_WORK,2.0667384341800834,1,1,0,appartment,3,1,54,1,2,FTE,7.9965715820708985
drive,2,SHOPPING,1.8957183888305014,2,2,0,detached,3,1,70,1,3,Retired,11.624905136420876
passenger,2,ESCORT_TRANSFER,2.057917960184512,2,4,2,detached,5,0,33,1,5,Homemaker,15.428628373181281
