choice,travel_dow,trip_purpose,distance,hh_vehicles,hh_size,hh_bikes,hh_descr,hh_income,gender,age,license,education_level,work_status,departure_time
passenger,6,HOME_OTHER,6.257340336428117,1,1,5,detached,2,1,61.0,1,2,Retired,14.236298615922035
drive,7,SHOPPING,1.3977758917943905,1,1,0,appartment,2,1,48.0,1,3,Retired,15.65924866687268
drive,4,HOME_WORK,8.171029098970992,1,2,5,detached,4,1,59.0,1,5,FTE,16.48600331029095
passenger,2,SHOPPING,0.5751776397256835,2,2,1,detached,6,1,71.0,1,3,Retired,17.524051217915567
passenger,3,SHOPPING,2.2267090566289656,2,5,0,detached,7,1,7.0,0,1,Student,16.367049156286072
drive,2,HOME_OTHER,11.955294441003844,1,4,0,detached,7,0,32.0,1,3,FTE,12.123059377442445
pt,5,HOME_WORK,11.083700862723763,0,1,0,detached,1,0,15.0,0,1,PTE,11.741781702803227
drive,3,HOME_OTHER,4.552236228191914,2,2,0,detached,7,0,68.0,1,5,Retired,9.5551735508951
passenger,2,HOME_OTHER,1.983488639242132,4,1,0,appartment,7,1,55.0,1,4,FTE,18.178127758155416
passenger,5,ESCORT_TRANSFER,7.162957719952171,2,3,0,detached,1,0,48.0,0,5,Student,16.017582008475383
drive,1,SHOPPING,7.180755708717956,1,1,0,appartment,3,1,78.0,1,5,Retired,12.17955598428895
drive,3,ESCORT_TRANSFER,0.7023049308700821,2,1,0,duplex_townhouse,3,0,31.0,1,5,FTE,6.187336438823651
cycle,2,BUSINESS,-0.0645652695987392,2,5,5,appartment,7,1,42.0,1,3,PTE,15.492844188951494
walk,2,SHOPPING,0.09212752829573856,2,1,5,detached,7,0,71.0,1,6,Retired,10.537177367611488
walk,2,SHOPPING,0.6653428098604051,2,2,0,detached,6,1,34.0,1,3,FTE,14.852022225129737
drive,5,SHOPPING,1.532048075277124,2,4,2,duplex_townhouse,3,0,49.0,1,4,FTE,9.206329493384613
walk,3,SHOPPING,0.7936851991946661,0,1,0,appartment,1,1,55.0,0,3,Unemployed,13.178539063445232
drive,2,BUSINESS,0.5998870411892454,3,3,2,detached,7,0,66.0,1,3,FTE,14.572874613838955
drive,1,OTHER,9.053615443362508,1,1,1,duplex_townhouse,2,0,65.0,1,5,FTE,9.084786049825118
drive,5,HOME_OTHER,1.4798847289303754,2,2,0,appartment,7,0,78.0,1,6,Retired,7.681507001065363
drive,2,SHOPPING,1.3512546190388552,1,1,4,appartment,2,0,62.0,1,3,FTE,13.9461702458693
pt,1,HOME_OTHER,0.5596734993063973,0,1,4,appartment,1,0,44.0,0,4,Unemployed,9.980439996016225
drive,3,HOME_WORK,0.5654749918278016,2,1,3,detached,7,0,57.0,1,6,FTE,15.020833731935362
passenger,7,SHOPPING,0.20899901093330175,1,5,0,appartment,6,0,70.0,1,6,Retired,13.55599658260347
drive,5,HOME_WORK,9.460969631843408,2,2,0,detached,7,1,60.0,1,2,FTE,6.878089269031938
drive,2,HOME_OTHER,1.7677155321937892,0,2,0,duplex_townhouse,6,1,68.0,1,2,Retired,15.31863173993764
pt,6,HOME_EDU,0.6981497313802574,1,4,0,appartment,4,0,13.0,1,1,Student,16.796140034753
passenger,3,HOME_WORK,3.6148041081596,1,2,2,appartment,4,0,35.0,0,3,Homemaker,10.87036477711221
walk,2,SHOPPING,-0.04489424822975996,2,2,0,detached,7,1,56.0,1,5,FTE,12.169911555731627
passenger,6,HOME_OTHER,26.298142585543232,2,1,0,detached,3,0,84.0,1,6,Retired,12.816202676457934
drive,5,SHOPPING,1.3081148480093323,3,3,0,detached,6,0,20.0,1,5,Student,14.728751928300394
drive,4,HOME_OTHER,1.8781686089420062,2,6,5,detached,3,0,55.0,1,3,FTE,7.241454468182277
